CRN	one	r0	r1	r2	r3	score	hasAM	unique	hasAM33	has_asym33	has_am34
4854	0.8305934683091591	0.01078356	10.09717356	0.02400655	56.51420204	0.9997503407432092	False	True	False	False	False
6408	0.926983872863682	0.25959726	0.10292595	99.47604868	0.19808804	0.9975746205754062	True	True	True	False	False
4777	0.8817071220087662	0.79218671	0.01043001	99.14538127	0.01395186	0.9958584665126586	True	True	True	False	False
5308	0.79203134910901	0.01169347	0.01396973	73.45973849	0.18657381	0.9952795530275372	False	True	False	False	False
3860	0.8289279305527084	1.47323705	0.01109609	64.11176925	0.07526279	0.9932983645606221	True	True	True	True	False
3928	0.8029939626247448	0.03919038	0.01389081	89.24953712	3.53539833	0.9881439149715554	False	True	False	True	False
4920	0.7644049375227567	0.01048993	94.98024525	0.57513895	0.75587498	0.986795581996667	False	True	False	True	False
4919	0.6877615793876434	0.01010423	98.21147073	0.02216309	0.69850558	0.9854171752501688	False	True	False	True	False
2739	0.5613670461526874	3.06689572	0.05228925	85.76793062	0.0102917	0.9849482262172412	False	True	False	True	False
2704	0.7636249047026518	0.05611987	0.69828562	0.01004131	96.75001568	0.9836647635920578	False	True	False	True	False
5024	0.5889599042590271	0.01007528	0.80937189	41.86755168	96.28589175	0.9836489093113101	False	True	False	False	False
2747	0.7636249047026518	0.84555542	0.01066071	18.87724531	99.64225902	0.9834590952953406	False	True	False	True	False
3545	0.7636249047026518	0.62390971	2.06969311	0.0101788	96.05104841	0.9833135073843888	False	True	False	True	False
4402	0.7636249047747865	18.8193019	0.01082511	98.64395492	0.73412296	0.9832818418152056	False	True	False	True	False
3557	0.7636249047026518	0.78233904	0.26183065	0.010838	96.89852844	0.9831653374099872	False	True	False	True	False
4275	0.7636249047747865	0.01060267	9.99282076	95.12639754	0.85495835	0.9830734113345634	False	True	False	True	False
3957	0.7636249047747865	1.09736603	0.01057163	97.13741332	0.95031272	0.9829887066691668	False	True	False	True	False
2465	0.7636249047026518	0.14672829999999998	0.81459718	0.01006959	87.70925797	0.9827828614259028	False	True	False	True	False
2889	0.7636249047026518	0.64656411	0.01037016	0.1443059	89.63975926	0.9827619670900298	False	True	False	True	False
5553	0.5703514399072277	0.01252932	1.67064142	0.01143215	83.03140202	0.9827552037356784	False	True	False	True	False
3300	0.7636249047747865	0.01034619	0.03096458	94.07129426	0.98744338	0.9826723304273663	False	True	False	True	False
2614	0.7636249047747865	0.01051606	77.71831185	90.44701352	0.87337659	0.9826151494979598	False	True	False	True	False
4059	0.7636249047747865	0.01128294	5.5083512	94.3028339	0.84646057	0.9825795172387621	False	True	False	True	False
3222	0.7636249047026518	0.75048801	0.01121242	93.18589654	42.18581121	0.9825604851336476	False	True	False	True	False
2517	0.6469394212030832	0.0101861	96.07500255	0.53060347	0.02345463	0.9825414148692496	False	True	False	True	False
3307	0.7636249047747865	0.010277	1.04666154	88.68983721	0.89746875	0.9825155184932658	False	True	False	True	False
4350	0.7636249047026518	0.12630147	0.51681124	0.01016157	95.54654411	0.9824630818665012	False	True	False	True	False
4382	0.7636249047026518	7.05928712	0.92517865	0.01178554	97.04345522	0.9823516689484862	False	True	False	True	False
6238	0.6733234843038324	0.01139972	61.56185592	0.79436063	97.44109172	0.9823423853501676	False	True	False	False	False
2645	0.7636249047026518	0.54884111	0.06207375	0.01041517	92.46448035	0.9823313833577858	False	True	False	True	False
3958	0.7636249047747865	4.20486734	0.01039856	94.9028545	1.0675913	0.9823141556313592	False	True	False	True	False
3301	0.7636249047747865	0.01022361	0.01292273	84.40492062	0.85360491	0.9822281408545959	False	True	False	True	False
4044	0.7636249047026518	3.34200726	0.61518999	0.01114777	93.55426156	0.982223278755904	False	True	False	True	False
4242	0.7636249047747865	0.01014204	82.25341886	40.56964606	0.60323851	0.982203675199284	False	True	False	True	False
