CRN	one	r0	r1	r2	r3	score	hasAM	unique
3546	0.7636249047026518	1.14273831	2.1653385	0.01074721	99.49093764	0.9822500960762672	False	False
3301	0.7636249047747865	0.01022361	0.01292273	84.40492062	0.85360491	0.982228140854596	False	True
3289	0.7636249047747865	0.01060219	0.12305393	84.57781348	0.70981123	0.9822263255114259	False	False
2464	0.7636249047026518	24.13369028	0.80087707	0.01168393	92.87820861	0.9822237383264092	False	False
4044	0.7636249047026518	3.34200726	0.61518999	0.01114777	93.55426156	0.982223278755904	False	True
2519	0.5613670461526874	0.07313621	0.01946141	97.50159418	3.21944663	0.9822107470739702	False	False
3253	0.7636249047747865	0.01077569	0.16693199	85.55902885	0.72853683	0.982207094891474	False	False
4242	0.7636249047747865	0.01014204	82.25341886	40.56964606	0.60323851	0.9822036751992841	False	True
2598	0.1657205352219792	0.01088854	96.33792913	0.02733943	0.78476121	0.9821924071739369	False	True
3085	0.7636249047747865	0.05627742	0.0102964	88.4928314	0.54357453	0.9821696769364894	False	False
3488	0.7636249047026518	22.74605755	0.97264137	0.01218245	98.20799123	0.9821331779782456	False	True
4978	0.5889599042590271	0.01021664	0.98482721	26.51858808	87.68442028	0.9821154582206756	False	False
2591	0.7636249047026518	0.69913829	0.01001588	4.71413359	78.9542624	0.9821118802648392	False	True
3401	0.6763756073728333	0.72607147	0.01100807	90.23363868	0.02422376	0.982090697389958	False	True
6252	0.6733234843038324	0.01110418	61.40736151	0.97137729	95.65494802	0.982038615233365	False	False
5007	0.7633065630052626	0.010570399999999999	48.71931052	0.26200079	47.77171751	0.982034902313408	False	True
3487	0.7636249047026518	0.63876531	39.35233989	0.01168758	95.29705057	0.9820256762064864	False	False
2738	0.5613670461526874	2.57432562	0.04425942	69.77709229999999	0.01315647	0.9820240215074096	False	False
3513	0.7636249047747865	0.01081905	0.90398887	84.18104123	0.78540845	0.9819984401438876	False	True
3050	0.1657189903119947	0.97055224	0.01122403	95.97250347	0.01278928	0.981950904640716	False	True
2641	0.7636249047026518	0.14350978	0.63338775	0.01087514	85.27527342	0.9819319505132688	False	True
2840	0.7636249047026518	0.14336646	1.00555134	0.01218657	97.47555975	0.9819245447268152	False	False
4066	0.7636249047747865	0.01042592	0.12139130000000001	81.67697265	0.80730312	0.9819125856505436	False	True
3516	0.7636249047747865	0.01000295	0.01728673	77.49468177	0.57528184	0.9818279567266364	False	True
4060	0.1657189903119947	0.01079271	95.99171025	0.01235545	1.08092242	0.9818119991489238	False	False
4380	0.7636249047026518	0.04431648	0.6469725000000001	0.0115073	87.76161769	0.9816507803585512	False	True
3521	0.7636249047747865	0.01310517	37.79754575	99.12428712	1.01412282	0.98162735892591	False	True
3508	0.7636249047747865	22.72612921	0.01104386	85.83805285	0.59350628	0.9816175403041356	False	True
3686	0.6469394212030832	0.01119732	94.23086762	0.61829801	0.20535507	0.9816076991041836	False	False
2911	0.7636249047026518	0.65873167	0.06933549	0.01061304	78.51937418	0.981600545861497	False	False
2585	0.7636249047026518	0.64060344	0.01236203	36.84134071	97.36715791	0.9815977424164936	False	False
2851	0.7636249047747865	0.01780498	0.01026612	83.67421963	0.96052083	0.9815934016356545	False	False
4190	0.7636249047026518	0.64503649	0.02154103	0.01234413	96.89867385	0.9815898590979818	False	False
2622	0.7636249047747865	0.010141200000000001	0.07302806	75.29923244	0.719997	0.9815849911563748	False	False
2477	0.7636249047747865	0.01064761	0.52304485	90.62763433	0.50514821	0.9815821564770236	False	True
3438	0.7636249047747865	0.19022962	0.01175953	89.49250090000001	0.92641964	0.981580205159846	False	False
3509	0.7636249047747865	6.22471685	0.01179779	90.35862208	0.94933038	0.98156331473552	False	True
3406	0.1657205352219792	1.13359797	0.01044916	95.69433778	0.01579935	0.9815438817054541	False	False
3056	0.7636249047747865	0.01072828	0.14591911	79.21124363	0.75343195	0.9815390954203864	False	False
2518	0.7636249047747865	0.01039173	90.25442474	17.95474068	0.48553686	0.9815210576206944	False	False
2917	0.7636249047026518	0.67991885	0.01031275	0.05987712	75.94907845	0.9815209304471266	False	False
4338	0.7636249047747865	0.011853	12.13428007	86.66796157	0.77647405	0.9815099960450075	False	False
4257	0.7636249047026518	0.61578801	0.01136069	9.13393883	85.98351262	0.9814918346063504	False	False
5334	0.5703514400514973	0.01335525	0.04128099	97.60766357	1.76361714	0.9814748855364712	False	False
6260	0.6733234843038324	40.12886932	0.51920532	0.01065584	99.96795729	0.9814738996708149	False	False
4344	0.7636249047026518	0.68245711	0.01256643	0.37449103	95.68164889	0.9814702373894536	False	False
4026	0.452632805123077	0.01106107	90.09741856	0.02470484	0.94030002	0.981468065844878	False	True
3677	0.7636249047747865	0.01330421	97.56612604	5.11421929	0.98550107	0.9813805485733644	False	False
4278	0.7636249047747865	0.01150941	0.01243737	91.85295833	0.56332935	0.981366926430384	False	True
2423	0.7636249047026518	0.61762257	0.02542626	0.01077799	78.79278942	0.9813606172364312	False	False
3515	0.7636249047747865	0.01337529	0.22243283	98.16030541	1.01688133	0.9813478571758726	False	False
3808	0.7636249047026518	6.88906792	1.00105884	0.01178508	89.32630442	0.9813025771821277	False	False
4068	0.7636249047747865	0.013904	0.01542953	98.46609726	0.87959177	0.9812986461988152	False	False
2584	0.7636249047026518	0.50829303	0.0112642	12.80116231	97.97479496	0.9812801048264193	False	False
2761	0.7636249047026518	0.62601374	0.01047225	0.01053073	75.04488588	0.9812658365003298	False	True
2624	0.7636249047747865	0.01101269	0.23182172	98.56321663	1.28990213	0.9812598432565912	False	False
3244	0.7636249047026518	0.86061443	0.01275194	0.64822408	90.6874517	0.9812449454826556	False	False
2760	0.7636249047026518	0.68525603	35.79241776	0.01062817	75.01710918	0.9812439613482334	False	False
2660	0.7636249047747865	3.48672065	0.01033075	75.51881351	0.5620949000000001	0.981237879811558	False	False
3932	0.7636249047747865	0.01050056	0.01305011	92.63917181	0.90078656	0.9812104077240504	False	False
3302	0.7636249047747865	0.013410499999999999	9.2972095	94.38311008	0.8953575999999999	0.9811535477942904	False	False
2478	0.7636249047747865	0.01313144	9.71992177	99.11183497	0.6573531	0.981120998285856	False	False
2779	0.7636249047026518	1.33838424	1.03935339	0.01272537	93.21094656	0.981106890243186	False	False
3484	0.7636249047026518	0.75283628	0.01260717	0.18131513	88.14444093	0.9810795479982318	False	False
2950	0.7636249047026518	0.75157852	0.01103902	0.30971455	76.90638325	0.9810521686038808	False	False
5169	0.7633065630052626	0.65765259	0.01154951	44.57031848	85.43414529	0.98104595477207	False	False
2751	0.7636249047026518	1.32965555	0.01078824	2.17032092	98.40226994	0.9810262517416272	False	False
3267	0.7636249047026518	0.84412841	5.0618356	0.011071600000000001	78.89869519	0.981009225199024	False	False
3523	0.7636249047747865	0.01106865	1.79581653	75.85364786	0.65289518	0.9809690280363124	False	False
2740	0.7636249047026518	0.79995857	0.01234174	84.62031979	3.4190495000000003	0.9809599988572644	False	True
3437	0.7636249047747865	0.25144469	0.01028918	71.15818641	0.71461664	0.9809366189021056	False	False
2642	0.4748365592198146	1.20536347	0.01030115	0.01059378	98.91510327	0.9809206452383432	False	True
3522	0.7636249047747865	0.01354097	4.60122405	93.93894418	0.96572491	0.9809122500516309	False	False
2696	0.1657247014367183	0.69364594	0.01046256	82.20319304	0.03559092	0.9808676373043425	False	True
3420	0.16572338173142964	0.93529051	0.01003724	0.02188599	82.01664182	0.9808665472761045	False	True
3682	0.7636249047747865	0.01081226	74.30267719	0.01388913	0.77080137	0.9808585591457978	False	True
2623	0.7636249047747865	0.01230963	11.73155755	83.82183158	0.70307197	0.9808485261395401	False	False
2985	0.1657189903119947	0.49644727	0.01050201	92.76876124	0.02486511	0.9808259059075896	False	False
5170	0.7633065630052626	0.21788413	0.01223252	54.53955569	44.434267	0.9807912451592324	False	False
4280	0.7636249047747865	0.01202979	83.68720319	87.03412401	1.01093474	0.9807740045928198	False	False
2706	0.7636249047026518	0.20194843	0.75233745	0.01414941	97.86977811	0.9807659442556264	False	False
3221	0.7636249047026518	0.98407871	0.01129763	82.31736471	0.93004376	0.9807586322443508	False	False
4405	0.7636249047747865	0.01110892	0.47555557	84.33724865	1.04458893	0.9807573059747996	False	False
3131	0.7636249047026518	2.86145157	1.14873609	0.01214682	92.0434272	0.9807530584641948	False	False
4403	0.7636249047747865	0.01174353	23.34317815	94.62180834	1.24183116	0.9807479775086652	False	False
3233	0.7636249047747865	0.01140435	29.03519298	94.34299457	0.49270951	0.9807388852117092	False	False
2528	0.7636249047747865	0.01317933	0.48965707	99.84297864	1.25488296	0.9807024135204016	False	False
2737	0.7636249047026518	1.06381727	0.01348935	94.26000090000001	0.59576479	0.980701481323001	False	False
5763	0.5703514400514973	0.01216536	0.02106135	71.61039435	0.98534613	0.9806128626980932	False	False
2909	0.7636249047026518	0.79453053	0.01496996	0.01212766	79.23320358	0.9805783070500697	False	False
2775	0.7636249047026518	1.6102943	0.54188846	0.0120566	91.54082331	0.980544527788382	False	False
4345	0.7636249047026518	1.26335808	84.56724593	0.01308327	99.00409997	0.9805409972972128	False	False
3482	0.7636249047026518	0.80525898	0.01021183	0.51955513	70.28889872	0.9805379402264209	False	False
2886	0.7636249047026518	0.55491979	0.01021717	25.48381861	67.67900029	0.9805291146116432	False	False
2686	0.7636249047026518	1.12449933	93.91875669	0.012885200000000001	91.58792042	0.9804442053720896	False	False
4383	0.7636249047026518	0.46998509	0.48030821	0.01083274	82.30771088	0.980425969346099	False	False
4150	0.7636249047747865	0.01094636	23.13123811	76.49999846	0.93629955	0.9803310061090752	False	False
2936	0.7636249047747865	0.03869099	0.01029491	67.75705255	0.75462943	0.9803176386739044	False	False
3465	0.7636249047026518	1.1098913000000001	0.01438267	0.02871479	95.83592752	0.9803152171824129	False	False
3955	0.7636249047747865	0.01076621	9.24208535	89.11293431	0.4425572	0.980272869394204	False	False
2776	0.7636249047026518	1.92129839	0.57438424	0.01173516	79.43116504	0.980264718095088	False	False
