CRN	one	r0	r1	r2	score	unique
28	0.7636249048469212	0.71125105	0.01136988	94.78958923	0.9825130820698806	True
36	0.9264355950798886	2.10807463	18.56472378	2.40222379	0.9363315971734972	True
27	0.7636249049190559	48.94838532	0.8196059000000001	10.91430597	0.7864462725068478	False
14	0.7051395215301323	1.30586816	57.41925989999999	57.25605894	0.7053479007229659	True
12	0.7051395215301323	6.10652098	56.177278799999996	55.74579694	0.7053423951101507	True
11	0.7051395215301323	10.20829917	7.96575055	7.97455627	0.7053387054897184	False
0	0.7051395215301323	0.64467483	0.05804353	0.05849167	0.7053255505635272	True
6	0.7051395215301323	0.02923796	3.53112956	3.55534307	0.7053178540740229	True
17	0.7051395215301323	0.01391251	47.10208349	46.48547614	0.7053157663500293	True
13	0.7051395215301323	0.0920439	50.35427328	50.46269665	0.7053035972894942	False
16	0.7051395215301323	20.83283743	25.04495549	24.97065467	0.7053015124508907	True
9	0.7051395215301323	0.01816387	3.54466758	3.53558376	0.7052881420581949	False
8	0.7051395215301323	0.01875553	0.32151695	0.32700484	0.7052751773513447	True
15	0.7051395215301323	0.21075437	4.2370908	4.26476915	0.7052451040846784	False
2	0.7051395215301323	26.80829892	2.0472043999999996	27.22909902	0.7052449152358975	False
26	0.7052059046177224	23.62354591	37.28580938	37.37471926	0.7052401904096387	True
3	0.7051395215301323	0.07701425	3.80317079	0.07670957	0.7052084910092569	False
22	0.7052059046177224	3.26749265	48.01467457	47.57499284	0.7052025137072983	False
30	0.7052337359362951	12.39401013	12.09022308	0.58128939	0.7051771394426496	True
10	0.7051395215301323	16.46214305	11.83673946	12.08263933	0.7051593904705049	True
7	0.7051395215301323	0.12986212	0.1702396	0.16481105	0.7047288872406441	False
5	0.1386653215877687	0.0188773	65.31061070000001	64.59003874	0.7035791120235592	True
24	0.4135081258910381	34.41549624	0.01059058	33.64993719	0.7032354420113585	True
19	0.4111492753527164	0.01008098	0.01041116	28.18648372	0.7031658205062099	True
23	0.4135081263238466	26.907357300000005	27.1191131	0.02572412	0.7030484470214988	False
20	0.4111492741985604	75.43981826	0.04674837	0.04662344	0.7028406146822205	False
1	0.13867225698350402	28.38099461	0.01177812	27.83180509	0.7025495541316502	True
4	0.13867225698350402	0.01192222	39.57553094	42.5051156	0.7015524504581682	False
25	0.4232713550287995	80.91513138	0.27245582	0.28436902	0.6959280701543333	True
21	0.4232713550287995	55.11762579	0.35952958	0.36602608	0.6893618105234087	False
39	0.17799042398229925	88.66814454	0.11905212	0.02422191	0.5926943094078859	True
35	0.17799042398229925	42.903885100000004	0.12762831	0.02619445	0.5916717187952726	False
34	0.17245688138474946	9.03389415	0.03268014	0.01172943	0.5891857375371392	True
32	0.17245688138474946	26.40874769	0.02943731	0.09504193	0.5886839498075562	False
29	0.3075963760362739	0.0607049	0.03797532	43.38356008	0.5683411803417566	True
18	0.30759637589200445	15.03826834	0.02750456	0.01762928	0.5680639995273663	False
38	0.5476957188851584	7.80567224	12.655774000000001	0.39726479	0.5645419886637747	True
37	0.5476957004186619	1.42207692	1.19121121	0.04371006	0.5583227890898579	False
33	0.3179149796468695	1.69331712	87.40323921	0.01098202	0.5331538112893469	True
31	0.3179149796468695	0.24895391	0.01045618	54.12402097	0.5330334138436954	False
