CRN	one	r0	r1	score
20	0.452149954425005	0.03786025	0.06349565	0.4776355312194305
26	0.4662537562208987	0.10420443	0.13198183	0.4727763883209783
23	0.45710747794435924	0.03596287	0.04659812	0.4636099461450652
21	0.4147478492486457	28.41766963	57.93689138	0.46159182684914596
22	0.421440429093308	1.53603338	2.68496323	0.44900276222516405
7	0.40534638267305395	0.19058405	0.31413205	0.4273506846853319
4	0.40534638267305395	2.68419662	4.4324157	0.4273487024223457
5	0.40534638267305395	9.218413	15.26329052	0.42734351073997157
6	0.40534638267305395	23.00333826	38.35604583	0.4273221672931324
28	0.35745322753797504	6.03715993	13.92227154	0.4255163130891395
15	0.3819711847289302	8.6734754	5.87414486	0.3991569295953768
3	0.387109300124744	0.24137178	0.20683735	0.38866662110977346
8	0.387109300124744	0.09035419	0.07816544	0.388665397343705
1	0.387109300124744	0.57394833	0.49745875	0.38866371891229445
10	0.387109300124744	0.41033615	0.48167247	0.38866075237061665
2	0.387109300124744	0.4986779	0.58548477	0.38866021208132384
9	0.387109300124744	2.09437527	2.4760715	0.38864776147885144
14	0.3872305037483844	9.00231138	8.79904804	0.3872264310924187
16	0.30254377400856197	0.03356367	0.08330601	0.37631563153626885
0	0.30254377379215774	0.59286629	0.23527341	0.3762871385977503
30	0.2804377676945467	7.09536229	1.85547223	0.3739065191618218
33	0.31105443937004335	0.25066621	0.10433573	0.3670366333950598
18	0.21011495622379522	2.42664032	8.05902762	0.336335731989374
29	0.19241017743484268	0.25081021	0.07591715	0.3360625271703816
17	0.1924102973949353	1.02916501	3.46558764	0.33604951095931845
11	0.31591783194314266	0.0181307	0.01203473	0.32947797582543775
13	0.31591783194314266	6.96918352	4.59589012	0.32947516899010093
12	0.31591783194314266	88.7859202	58.28192661	0.3294693931605047
27	0.14575506556686146	0.29388495	0.06573972	0.30882070893958957
32	0.16763519157090628	7.67186142	1.84070639	0.2929292073091543
31	0.16526549384138065	3.74837259	0.86748626	0.2873850574405858
19	0.19042954130372408	29.17348111	10.27735437	0.2534408569736762
24	0.1287109820282741	0.0194475	78.80203836	0.19996307377032335
25	0.12871104608393394	0.01677383	62.41068796	0.19995983253950975
