CRN	one	r0	r1	r2	score
14297	0.44359390036270746	0.0247409	46.01204356	0.01794132	0.6098146165126678
14407	0.44359390036270746	0.12262262	55.63411239	0.08854454	0.6095489496309946
8921	0.3733203714988222	0.01194895	89.25088852	0.03345425	0.5998701344555791
7483	0.3733203714988222	85.29008719	0.01313013	0.0233105	0.5998548003385286
7481	0.3733203714988222	58.48336396	0.01095463	0.01493261	0.5998249234226574
7480	0.3733203714988222	80.53209912	0.0148788	0.03205683	0.5998237189165676
9916	0.3733203714988222	0.01708807	90.39069126	0.04341688	0.5998194358435303
7482	0.3733203714988222	74.75623254	0.01636864	0.10819882	0.599766776536786
8922	0.3733203714988222	0.01359252	81.8880871	0.3260186	0.599751097832025
9917	0.3733203714988222	0.01696927	45.37639609	0.06849341	0.5996260026827811
4150	0.40883187207235916	97.56623828	5.47050444	0.01142786	0.597434877345197
8106	0.3668352164320893	84.71736087	4.41155534	0.01011028	0.5974281074987176
8412	0.3668352166484935	94.83194927	0.01183089	4.72303955	0.5973690392356584
8416	0.3668352166484935	90.13948703	0.01009907	6.36822014	0.5973437454012583
7790	0.3668352164320893	94.80205431	4.09119331	0.01182644	0.5973264007443988
8105	0.3668352164320893	85.06068169	5.17350464	0.0108372	0.5973140429793523
8888	0.3668352166484935	95.01927136	0.01151327	3.60943531	0.5972942252546535
4153	0.40883187207235916	92.70491649	5.02741343	0.01303584	0.5972047706601041
341	0.40883187207235916	75.28636521	4.56679852	0.01127078	0.5971095904417462
7378	0.3668352164320893	95.12656635	8.55813894	0.01041485	0.5970527717009295
8896	0.3668352166484935	74.31773762	0.01160923	5.49279821	0.596969635894255
4151	0.40883187207235916	91.99363325	6.68099319	0.01459523	0.5969598518971614
7796	0.3668352164320893	97.19554868	5.67737431	0.0164867	0.5969312653277348
4152	0.40883187207235916	97.61084508	3.63871829	0.01424111	0.5969135097913275
7377	0.3668352164320893	84.5520469	6.52949964	0.01469335	0.5968097127161639
7795	0.3668352164320893	76.51858965	3.07127181	0.01240723	0.5967755317360425
8108	0.3668352164320893	78.98765623	3.7007774	0.01437955	0.5966889517113622
8588	0.3246147925873888	92.17567189	0.0103672	7.00542207	0.5963951149105899
7794	0.3668352164320893	83.11073953	2.59529776	0.01341213	0.5963890424628933
9021	0.3668352164320893	55.40031789	4.1835263	0.01296265	0.5963877719535056
6946	0.3246147925873888	93.15887079	6.81625686	0.01086989	0.5963363882055817
2641	0.40883187207235916	47.02042344	2.50225073	0.01061991	0.5963251690875963
129	0.40883187207235916	49.9073348	3.14526618	0.01199581	0.5963106883246623
343	0.40883187207235916	80.019118	4.57366454	0.02004581	0.5961493386818496
7793	0.3246147925873888	83.27205347	6.33169751	0.01124826	0.5960574082783406
7379	0.3668352164320893	50.71142008	3.52533732	0.01417225	0.5960371472855907
12744	0.4155444315842385	79.61032434	0.01372872	3.38681693	0.5957968911687505
8414	0.3246147925873888	87.84855133	0.01036173	3.76534944	0.5957860570339367
12763	0.4155444315842385	69.15552397	0.01584133	7.0686442	0.5957119199654449
8413	0.3246147925873888	73.85368439	0.01113002	4.29256168	0.5955835291236499
7791	0.3668352164320893	87.76062601	10.57937109	0.0281146	0.595459978812256
7792	0.3246147925873888	86.31540782	3.29800701	0.01058891	0.5953834843800675
12743	0.36981309473541374	80.63633276	0.01092309	7.196038	0.5953256328138711
8417	0.3246147925873888	95.6876225	0.01689679	12.89563568	0.5950698060501284
6947	0.3246147925873888	66.53888568	6.97049768	0.01715424	0.5945511017834393
12764	0.36981309473541374	76.08070581	0.01106298	4.09856025	0.5942603384280475
14238	0.45153689501725164	89.26343086	0.01059476	11.50161665	0.5940907522949768
3235	0.40581049009355896	86.64033921	0.01026143	13.15404534	0.5938502426244833
14223	0.4322438026191885	96.90517655	0.01048487	11.0065314	0.5937574368657581
1977	0.4278597132291903	77.05189653	0.01134595	5.65312582	0.5936473348525921
1976	0.40581049009355896	98.71034474	0.01229579	16.1185771	0.5935919672465824
3264	0.4278597132291903	95.3194415	0.01798512	11.99820845	0.593468488925671
14280	0.4539382520402368	0.70148403	78.95150728	0.01001867	0.5931510749533279
13149	0.2068088660249593	97.03551005	0.01162195	10.86535092	0.5929678879570287
3712	0.4035893528759823	79.81605568	0.01046154	8.39148076	0.5929468644278149
14330	0.4539382520402368	1.61089141	81.91120507	0.01266778	0.5928498034400667
1974	0.4035893528759823	70.20814855	0.01024643	9.51162233	0.5927726982429325
4344	0.4247396886360686	81.4160752	0.01485979	12.00005392	0.5927269636559804
8341	0.3831802255697557	92.79293222	0.01131205	15.32430286	0.5927078493893837
13102	0.2068088660249593	77.55523066	0.01094784	12.47745108	0.5924725562877536
12253	0.12871718561694995	94.19491718	0.01166913	12.57886259	0.5922028397611007
12252	0.1833203259188772	99.77392942	0.0158529	13.61926485	0.5919471746513374
14047	0.45153689501725164	51.18344005	0.01207718	9.11974367	0.5916837652267293
3249	0.4247396886360686	81.69243906	0.01015053	4.11838572	0.5916172397451385
8423	0.3831802255697557	95.19328472	0.01099305	23.07432717	0.5916124989049647
12251	0.1833203259188772	85.55916912	0.01047833	5.98359393	0.5912680245181439
12254	0.12871718561694995	87.26721916	0.01314875	11.3334503	0.5912036196539936
12865	0.34953913359970273	0.01710079	99.0347647	0.09164929	0.5911047194464726
14188	0.4322438026191885	61.66991579	0.01298332	7.89570368	0.5910216834021602
12245	0.40455603465554135	82.20396883	0.01564293	16.96719838	0.5909867898749581
8342	0.39978356440279117	74.79596348	0.01160208	13.14008822	0.590979337128781
12716	0.34953913359970273	0.01119886	12.29045831	0.05409853	0.5906514154313771
12170	0.4634618576829335	0.01192618	4.45258728	97.05418024	0.5904200536015989
12135	0.40455603465554135	84.95229821	0.02092073	21.25705002	0.5895388225050421
12281	0.4634618576829335	0.0184849	4.91236487	93.34433782	0.587811436556458
8422	0.39978356440279117	89.56291512	0.01065644	5.10739692	0.5874620630658172
13328	0.4987290449205016	0.01651398	0.69985648	6.1807225	0.5849132300768801
13435	0.4987290449205016	0.02454162	3.85774752	33.13610203	0.5848555724088971
13432	0.48639711796511126	0.01235673	10.62182567	86.71698327	0.584371227006628
13175	0.4745685850359624	0.01119744	8.25701162	79.97913719	0.5842218303086333
13430	0.4745685850359624	0.01947384	9.14677847	91.01374156	0.5837691794015828
14186	0.5022073662173614	0.01740347	84.95645846	0.74276896	0.5835858412829781
13216	0.48639711796511126	0.02216585	5.88636123	65.11595323	0.5835049809670568
14216	0.5022073662173614	0.0481876	80.43024523	2.05866698	0.5824347133228882
14211	0.4989777871859764	0.01095538	51.36652189	0.62068748	0.5759604322093522
14080	0.4989777871859764	0.07977985	99.99408861	2.94109725	0.5749409190816653
12475	0.4501629125836354	0.02648736	23.2040236	0.0416544	0.5682091198608555
13260	0.4476549686018166	0.1674712	71.60535975	0.32152957	0.5673375124058386
12872	0.4501629125836354	0.04274025	9.44889556	0.06674469	0.5673138130379977
13298	0.4476549686018166	0.03585407	71.10333575	0.08686466	0.5670513511754923
12410	0.4198002209500944	0.22484582	1.01458561	0.11080601	0.5585897251103586
12407	0.4198002209500944	5.14861707	10.45312292	1.65377996	0.558521542837783
12391	0.4198002209500944	0.29439245	2.07660733	0.19337335	0.5581398883963896
12656	0.46052894955459384	0.18978027	95.56378995	0.04388107	0.5578049663098388
12694	0.46052894955459384	0.09684316	33.49038819	0.02197694	0.5577703273461765
12390	0.4198002209500944	3.6012312	5.36775867	1.04598183	0.5576110960124923
7416	0.5093596733882498	18.33958543	0.01599236	0.04072139	0.5533842642772276
10089	0.5093596733882498	46.83563625	0.01507263	0.03947181	0.5533459925353177
13855	0.36840290808615067	0.04436594	0.01906096	54.14054527	0.5520019586473816
13838	0.36840290808615067	0.17538125	0.08269801	34.12085396	0.5519216747602638
12835	0.454390528062981	0.01414647	35.26306066	0.03723835	0.5518568470421972
12836	0.454390528062981	0.01331272	19.72637865	0.03503909	0.551741278152578
10088	0.5001307738422223	20.83098492	0.01765931	0.05105496	0.5513857964354036
7415	0.5001307738422223	31.34328024	0.01732958	0.05150052	0.5513628912711828
11619	0.475075175064528	12.91724697	1.51038182	0.01033421	0.5503897287612305
11498	0.4750751751366627	11.25878495	92.19468518	0.04773863	0.550370541710669
11924	0.475075175064528	96.55896209	12.06261144	0.0182675	0.5502952098742792
11620	0.475075175064528	45.63381398	5.80125485	0.01161489	0.5501459501601785
11592	0.4750751751366627	0.88602655	7.65354157	0.0174491	0.5500753432943172
11652	0.475075175064528	94.76213838	12.10895711	0.04661842	0.5500652054041302
8901	0.33720257299638007	76.46170611	0.01595262	24.65058934	0.5494854676351972
8997	0.33720257299638007	87.67115376	0.01799947	20.77205904	0.5494711918070938
13893	0.27486638125843615	0.05759826	0.02706173	95.29647455	0.548326701398348
13826	0.27486638125843615	0.03277633	0.01492717	81.41377095	0.5482559545910678
13061	0.5059061829649515	11.30128802	11.98176583	2.41714304	0.5468709255857929
13059	0.5059061829649515	10.32460091	9.48481907	2.48575369	0.5468499731814446
13000	0.5059061829649515	13.52331983	17.14749976	2.3707071	0.5467922750458658
13063	0.5059061829649515	13.71062627	11.05547291	3.50081599	0.5466189243443554
11672	0.28851051040624576	95.59512965	0.09353212	0.01402666	0.5457638066772517
11675	0.28851051040624576	83.32100701	0.0691534	0.01132329	0.545626605801785
