CRN	one	r0	r1	score
38	0.452149954425005	45.01595598	75.90561621	0.4776394091115657
37	0.452149954425005	9.85102569	16.07563823	0.4775379354246307
31	0.4662537562208987	0.20568813	0.26753499	0.4728275479462276
28	0.4662537562208987	12.80547032	16.67789171	0.47282576124055414
58	0.45710747794435924	0.01026014	0.01333898	0.4636091008700407
44	0.45710747794435924	0.12292734	0.15817497	0.46360594584025583
59	0.45710747794435924	0.34695749	0.44491128	0.46360082030544925
60	0.45710747794435924	0.17465048	0.22238482	0.4635806113218555
39	0.4147478492486457	31.77342283	66.23444385	0.46158295239914093
30	0.43736864457141333	3.47532045	5.81375325	0.4580221161594175
26	0.43736864457141333	4.43039773	7.19081021	0.45790927136657444
45	0.421440429093308	0.17419231	0.30347067	0.4490037096429974
46	0.421440429093308	0.01557298	0.02691448	0.4490011739621935
17	0.40534638267305395	10.05658542	16.45198204	0.4273561442040404
51	0.40534638267305395	0.21782014	0.35539077	0.4273553588008601
15	0.40534638267305395	0.01775143	0.02916226	0.42735482738414177
25	0.40534638267305395	0.03778919	0.06165776	0.4273547714075742
4	0.40534638267305395	1.62498388	2.64747344	0.4273538147564926
24	0.40534638267305395	0.17090584	0.28157801	0.42735179108815874
50	0.40534638267305395	0.75805415	1.25275892	0.4273474915683979
16	0.40534638267305395	2.00441655	3.24669152	0.42734474078176343
23	0.40534638267305395	0.03294407	0.05483648	0.42732799354492024
29	0.35745322753797504	1.54880098	3.66937426	0.42556614702191564
27	0.35745322753797504	1.03132291	2.45228983	0.4255600545928927
48	0.3819711847289302	0.07642569	0.05137727	0.39916415021192164
49	0.3819711847289302	6.51344571	4.43528371	0.3991423980495774
53	0.387109300124744	0.2111078	0.18199873	0.38866770623284846
14	0.387109300124744	0.21568562	0.25104672	0.3886674274320318
19	0.387109300124744	1.97478209	2.2864473	0.3886665450797448
6	0.387109300124744	0.07101277	0.08287784	0.3886661486271476
5	0.387109300124744	68.79133085	79.59327879	0.3886660153221258
55	0.387109300124744	0.02960113	0.02532646	0.3886658594389266
43	0.387109300124744	8.70633228	10.06824974	0.3886657081723516
42	0.387109300124744	3.03644118	3.55029524	0.3886649780965261
41	0.387109300124744	12.56134636	14.46416635	0.38866145099569016
13	0.387109300124744	4.26328391	5.01169646	0.38865863312373633
21	0.387109300124744	45.59870637	38.78642128	0.38865849621197696
20	0.387109300124744	0.20597508	0.23648559	0.38865711201821995
22	0.387109300124744	0.2773726	0.24160085	0.38865678575273643
40	0.387109300124744	1.02165723	1.2025822	0.3886562778519473
54	0.387109300124744	0.09097645	0.07623877	0.3886204416678054
56	0.387109300124744	0.02523306	0.03019372	0.3886109022075213
52	0.387109300124744	15.09233152	13.38633549	0.3886046942186256
18	0.387109300124744	0.30027353	0.26677027	0.38859757473500306
47	0.3872305037483844	0.19799137	0.19935114	0.38720933948426933
1	0.30254377379215774	0.97764643	0.39640201	0.3763125248367678
2	0.30254377379215774	0.43102394	0.17495459	0.37631075508276113
3	0.30254377400856197	2.30817947	5.63331886	0.37628824954506657
66	0.2804377676945467	6.16754547	1.62542019	0.3739118659339129
67	0.2804377676945467	0.11279549	0.02934173	0.37389501056707647
71	0.31105443937004335	1.02388649	0.42585895	0.36703719359354425
70	0.31105443937004335	0.51329413	0.21894308	0.36697100029248664
33	0.21011495622379522	0.15986652	0.52818371	0.3363352805700957
32	0.21011495622379522	0.03012014	0.10046892	0.33633204251321114
62	0.1924102973949353	0.21225015	0.70605854	0.33606785323979876
61	0.19241017743484268	8.8889637	2.68233926	0.3360658910302736
64	0.19241017743484268	19.63125126	5.8326464	0.33605094153572096
10	0.31591783194314266	52.42749132	34.76641703	0.32947799162294844
0	0.31591783194314266	12.62685976	8.41485676	0.32947603691543753
11	0.31591783194314266	0.05448683	0.03593844	0.32947567234640074
12	0.31591783194314266	40.96495239	27.02068836	0.32947554726474065
9	0.31591783194314266	0.05181956	0.03473923	0.3294684368700969
57	0.31591783194314266	0.12729808	0.08290343	0.32945128351459974
65	0.14575506556686146	0.20921164	0.04708826	0.30883189761670965
69	0.16763519157090628	3.09670865	0.74866865	0.2929255877315662
68	0.16526549384138065	9.06082291	2.08052848	0.2873817018040555
36	0.19042954130372408	0.09397079	0.03279963	0.2534407936393639
34	0.19042954130372408	0.85807952	0.30303111	0.25344015459759556
35	0.19042954130372408	63.44690094	21.70114499	0.25341345709305535
7	0.1287109820282741	0.01141173	60.06108649	0.1999716667505259
8	0.1287109820282741	0.0146531	75.26895054	0.19997092304123232
63	0.12871104608393394	0.02224371	75.57512627	0.1999561119732688
