CRN	one	r0	r1	r2	score
30603	0.3733203714988222	89.57786818	0.01035201	0.01132645	0.5998929749870623
30595	0.3733203714988222	81.9890615	0.01033138	0.05160372	0.5998709017529367
30511	0.3733203714988222	95.55017046	0.01341889	0.03663833	0.5998641048559252
30598	0.3733203714988222	77.80481537	0.01186047	0.0157347	0.5998578691672848
34146	0.3733203714988222	0.01031378	85.81832861	0.11680007	0.5998578131185824
30596	0.3733203714988222	68.28936226	0.01012021	0.02702717	0.5998570013862178
34148	0.3733203714988222	0.0126578	80.14549215	0.0198087	0.5998517649081626
30600	0.3733203714988222	93.41808226	0.01339306	0.07964353	0.5998497207535591
34145	0.3733203714988222	0.01227422	83.50392346	0.06032158	0.5998496903848285
30662	0.3733203714988222	65.86212594	0.01004737	0.0415532	0.5998470138969886
29447	0.3733203714988222	0.01109738	92.20072311	0.18884916	0.5998401341171471
30510	0.3733203714988222	77.02757873	0.01089274	0.1058739	0.5998384676601054
30509	0.3733203714988222	98.38981788	0.01660865	0.04120387	0.5998376352250668
34143	0.3733203714988222	0.01339858	99.99049592	0.18981676	0.5998320099406982
30599	0.3733203714988222	78.61328699	0.01414957	0.02170482	0.5998311436744608
30602	0.3733203714988222	93.02325479	0.0173115	0.01328784	0.5998291565063114
34144	0.3733203714988222	0.01207463	72.06508667	0.0699941	0.5998250208045726
30504	0.3733203714988222	74.93961024	0.01403899	0.02118406	0.5998245363475778
30506	0.3733203714988222	93.5551338	0.01490149	0.13560159	0.599820510290662
34147	0.3733203714988222	0.01304661	65.45325855	0.0131114	0.5998156765409275
30597	0.3733203714988222	57.24285545	0.01191602	0.01112963	0.59980785157943
30601	0.3733203714988222	72.32438807	0.01710258	0.04175015	0.599772793873532
30507	0.3733203714988222	72.24603465	0.01736238	0.03459302	0.5997717125014642
30508	0.3733203714988222	78.02953895	0.012093	0.28077053	0.5997705074904313
36927	0.3733203714988222	0.01676282	77.04164391	0.18717109	0.5997434518368472
34149	0.3733203714988222	0.01046874	31.52249025	0.01773086	0.5996872963029408
30505	0.3733203714988222	64.91141967	0.01830927	0.28817067	0.5996350574696664
42145	0.3668352164320893	90.5377808	4.58390119	0.01015037	0.5975073521404626
42157	0.3668352164320893	97.64486748	4.9026881	0.01108938	0.5974917791852479
31941	0.3668352164320893	87.4235722	4.55003665	0.01027228	0.5974473746188539
43861	0.3668352164320893	94.06930326	5.96197115	0.0103747	0.5974437642745141
30672	0.3668352164320893	91.62185049	3.57424564	0.01060966	0.5973890913983013
15202	0.40883187207235916	84.93118562	4.61623425	0.01102182	0.5973143786223535
42931	0.3668352164320893	91.0003708	4.50581539	0.01197368	0.5972928228829391
30671	0.3668352164320893	89.71310651	3.41375632	0.01101915	0.5972715937696819
15201	0.40883187207235916	93.37840713	5.53540936	0.01264775	0.5972454663460871
42153	0.3668352164320893	95.63864603	7.09340651	0.01141625	0.5972407926633674
30666	0.3668352164320893	75.40197238	3.56909807	0.01040026	0.597207742756158
28658	0.3668352166484935	83.16176775	0.01167758	4.94217293	0.5972022353399741
42923	0.3668352164320893	99.0657216	6.3816403	0.01369648	0.5971940554754965
38590	0.3668352166484935	96.94027174	0.01383086	5.8490458	0.5971782056671036
