CRN	one	r0	r1	r2	score
1489	0.3733203714988222	0.01591279	89.75475656	0.35525539	0.5997414050853926
233	0.40883187207235916	89.00144721	6.91737093	0.01499972	0.5968379580882135
1267	0.3668352164320893	50.29726254	2.74472972	0.01023414	0.596578041861108
1264	0.3246147925873888	99.06604232	0.01082393	5.65053021	0.5963789521095079
337	0.4035893528759823	99.08444953	0.01114849	11.19926952	0.5936220392148231
1244	0.39978356440279117	92.96989971	0.01239278	21.31588846	0.5910344864550311
1878	0.12871718561694995	94.15739839	0.01789987	11.17848456	0.58940633469787
2238	0.4745685850359624	0.01068989	5.36988245	50.34884922	0.5839559371402429
2067	0.4198002209500944	1.16457445	1.00736797	0.2263875	0.5570100686813799
2147	0.454390528062981	0.03575289	13.40269444	0.09761503	0.5507444508273311
1849	0.475075175064528	69.98687175	8.71481408	0.01700978	0.5503090897547286
2175	0.5059061829649515	0.96180105	0.80777258	0.2609786	0.5467230531672437
1898	0.28851051040624576	73.34003433	0.09061111	0.01465881	0.5452040306139824
2146	0.41245262271578326	2.9275261	52.45045464	1.42944073	0.5381183196888764
1138	0.48197037637825046	0.51486733	0.24745289	0.02154192	0.5374954361049726
990	0.4754826326838057	2.01622651	19.23425336	0.01178275	0.5371102197216581
2092	0.47098723655814756	0.0116096	13.55818663	32.70434513	0.5364495452461014
989	0.43620029660331544	2.51728549	32.05503716	0.02150939	0.5342161617116702
2043	0.4988426390491488	0.65037569	35.51239027	10.70354337	0.5341750473555864
2537	0.3793828394967521	0.06450977	43.47012472	0.02766837	0.5319201732915566
2160	0.350941423224851	0.0802195	0.06962699	93.07265205	0.5314429894996052
22	0.5043546545447808	0.30216143	6.16552311	2.06183194	0.531429634399477
229	0.3782813087231822	97.43849851	0.01490587	86.50028717	0.5298322727120133
783	0.3585407946105137	55.50390401	49.64271065	0.01813037	0.5297362766496095
785	0.40966554083161627	53.54855898	47.32390973	0.03678119	0.5297150783378913
784	0.4344343199329478	56.14894954	47.31392833	0.02618024	0.529706805635988
2051	0.5022201368817286	0.01879462	24.94358098	22.49077956	0.529689369151589
1139	0.32983046214703343	52.92201635	0.09257286	0.01929939	0.5296817200546169
1208	0.41474776434604255	0.01086655	55.98521397	51.45479242	0.5296281910913021
1945	0.47277583223417485	92.00556731	0.01872195	85.39420044	0.529627932488216
2389	0.40994426525756567	14.81635939	1.56017993	0.02571214	0.529587653452561
275	0.3667326837348595	32.79459102	0.02453805	28.02116242	0.5295717248730187
1077	0.35867920258892094	13.86781546	0.0146283	12.61067702	0.5295001948987353
276	0.37610734705636467	87.81584145	0.09958912	72.19827413	0.5294268518174594
20	0.4971354861771656	0.01011301	2.02135282	1.78517293	0.52933085597146
19	0.49067066467074316	0.02448171	12.1238679	9.85689442	0.529311839519587
2133	0.4878210833619014	0.01364512	17.70918974	16.07418678	0.5292269072690476
1318	0.43900801688925506	10.16854022	0.84957428	0.01062173	0.529166999573879
1960	0.4889998262363079	0.01916883	4.33004788	4.20034521	0.5291045319606298
2076	0.48209688486369096	0.0103632	11.26681183	9.08138558	0.5287181453352328
2074	0.47955468682924685	0.01772132	18.93540986	18.25348557	0.5286966478806979
2272	0.2602984672811438	0.01157392	0.53237062	96.26067898	0.5284029283710326
1210	0.41474784513696483	0.02993481	18.01822535	15.97103671	0.5282577371290821
1209	0.41474749824094226	0.0108366	6.44282949	6.36360403	0.527976250952016
277	0.4138504033418507	0.77935634	0.01122833	0.72246341	0.5279565453968568
1681	0.43672472274280627	89.99857341	2.65348253	0.01228156	0.5270952953380774
1834	0.3574149907814198	1.99911492	0.24341444	1.77556221	0.5267825797906738
1831	0.3440499928274264	38.8518703	2.99528914	0.01808783	0.5233722401596442
