CRN	one	r0	r1	r2	score	unique
1	0.448392139168661	0.01580869	0.01125112	94.41946859	0.999763236272832	True
15	0.492945370309344	0.01085865	0.01313703	79.12954195	0.9997388041601798	True
0	0.4654914346464632	0.01191602	0.01986256	71.96035206	0.9996348518510298	True
4	0.4654914346464632	0.03904062	0.02539193	92.48053067	0.9994239030740588	False
16	0.3964161133542066	0.01105199	4.07088405	66.67965982	0.6466467016253507	True
28	0.4130399517296171	0.02096912	4.65731578	71.14478396	0.6464893085015527	True
19	0.3964161133542066	1.71893212	0.01906679	32.42683973	0.6464016235167406	False
42	0.4130399517296171	1.13199531	0.01560406	31.64223993	0.6456582961045397	False
22	0.3854362732662012	0.01433995	4.57916764	89.81202193	0.6453057995398092	True
27	0.3960909244818838	0.02048032	3.22644105	62.97853989	0.6452148531985875	True
34	0.3960909244818838	1.58133589	0.02591521	38.31932956	0.6450939824046931	False
18	0.3854362732662012	2.35410762	0.09435345	58.08588482	0.6445167264319042	False
106	0.3791718016333624	0.01420068	0.01253506	48.82260983	0.6390961661160348	True
104	0.3791718017054971	0.01364888	0.0423815	58.98595091	0.6390166912922961	False
94	0.4282909991211109	0.012187799999999999	9.15137635	21.08208371	0.568871528816525	True
92	0.4282909991211109	30.0357225	77.88886917	0.13148063	0.5676726750617874	False
64	0.4540940228534612	0.04071278	28.25720296	53.92885414	0.5661971985271015	True
53	0.4540940228534612	13.54691354	0.03762078	28.797872100000003	0.5658742000265244	False
59	0.4713851115805594	0.06851097	9.50783164	18.53926929	0.565829831094698	True
29	0.4713851115805594	4.10488028	0.03655931	7.75615915	0.56564891439545	False
90	0.4531070585849961	5.53547941	0.012275399999999999	13.14911902	0.5507221443094173	True
86	0.4531070576472443	0.01098305	3.12414856	9.62220634	0.5507132328542846	False
46	0.4301699693261801	16.788232	0.18800997	45.88581345	0.5502229385711491	True
56	0.4301699693261801	0.65344747	31.23861954	93.89783958	0.5494303638981104	False
114	0.4454616874450327	7.17638859	0.01093376	21.87729757	0.5491238269807586	True
116	0.4454616873007632	0.01220778	4.73704377	17.43399172	0.5486364428299247	False
20	0.3061115753635386	0.01636417	0.10920385	88.67527371	0.540976554715382	True
55	0.4111397589034182	0.01047464	0.07316643	88.92526318	0.5409738618529534	True
57	0.4041644657252879	0.01248522	0.85454387	89.34567138	0.5409706683753457	True
71	0.3061115752914039	0.03824058	40.37417945	0.01140155	0.5409701950271028	False
74	0.4111397589034182	0.22820875	92.30353222	0.02269352	0.5409630647232674	False
21	0.34586247578232365	0.03649684	0.03413014	92.50461065	0.5409625905815422	True
72	0.34586247578232365	0.03630629	44.42931782	0.01851843	0.5409622381311436	False
93	0.3566779504899376	0.17369145	84.39597745	0.0149394	0.5409538133691829	True
73	0.4041644657252879	0.05464094	27.64793953	0.01140222	0.5409498738018348	False
84	0.3566779504899376	0.01895478	0.060946900000000005	83.90660187	0.5409463031316085	False
5	0.27449146463569224	0.01141916	0.01223806	79.89655784	0.5409401507586067	True
12	0.27449146463569224	0.01375426	68.51577899	0.03974457	0.5409015742473694	False
14	0.3223356684788209	0.08011816	0.01735967	89.85613158	0.5408854614356705	True
11	0.3223356684788209	0.01137494	94.52791705	0.1247547	0.5408722899184861	False
54	0.15930176021317685	0.01081765	97.30601116	0.01039403	0.5408102822364159	True
82	0.17898475775343747	0.09616696	95.45602402	0.01400599	0.5408073974955471	True
66	0.19803026196992374	0.09460399	69.68063996	0.01085749	0.5407974738455734	True
50	0.19803026196992374	0.24678102	75.02648743	0.01322621	0.5407723404388618	False
13	0.11199801453031552	0.0120765	60.68963049	0.01048472	0.5407133733087249	True
52	0.1500161419772337	0.01042136	71.47144252	0.01337927	0.5407063597189186	True
3	0.11199801453031552	0.06033379	94.88042002	0.01196008	0.54067037998662	False
10	0.12593734685537056	0.03481116	85.46972398	0.01487301	0.5406632183763024	True
60	0.1500161419772337	0.04388693	72.68273957	0.0102421	0.5406592945343301	False
7	0.12593734685537056	0.06628301	95.69659274	0.01197235	0.5406592300458618	False
65	0.15930176021317685	0.01002311	82.76982188	0.02063799	0.5406122872739476	False
45	0.04051422452200448	0.01257678	0.01266114	97.91866455	0.540533503645403	True
49	0.17898475775343747	0.58217137	51.61515978	0.02136286	0.540486559935737	False
44	0.029809663992729826	0.01241092	0.01410928	66.58710932	0.5402646549719518	True
62	0.04051422452200448	0.01136822	56.88462578	0.01204209	0.5402546335072544	False
63	0.029809663992729826	0.02459095	74.38623608	0.0283528	0.5396957962777831	False
47	0.04541857693854872	12.49543764	0.01097407	87.19125452	0.5372062677210833	True
26	0.04541857693854872	11.66624333	0.01394634	91.42831105	0.5367665958035637	False
41	0.03818513598889403	6.979145699999999	0.01063884	69.64305300000001	0.5363963227112132	True
83	0.03818513598889403	8.1285973	74.29983027	0.01231422	0.5362782049401305	False
67	0.100627557907188	0.40691457	74.30644913	0.01055255	0.5345275098727139	True
39	0.08275995136221856	0.32463634	0.01403587	84.6869861	0.5344319642197021	True
69	0.08275995136221856	0.23471081	62.28436802	0.01056583	0.534342279659563	False
75	0.1205624421388999	0.01070813	0.3789898	91.00469962	0.5331734241513498	True
24	0.1205624421388999	0.01041272	0.41242282	86.45010563	0.5331695802346829	False
89	0.14419079057533069	0.31151466	0.01078669	81.48240565	0.5325639996858866	True
102	0.08196652910584333	0.5185257000000001	0.01270405	86.60339385	0.532336339667314	True
101	0.08196652910584333	0.59711375	0.01419563	94.94791621	0.5322101896194563	False
35	0.10062755797932277	0.26236568	0.0175312	50.56670712	0.531496027441663	False
95	0.14419079057533069	0.73651794	0.01240315	75.89571206	0.5306604194838666	False
38	0.07663630465478899	1.50260191	0.01049984	99.4180791	0.5209301453961157	True
110	0.02075089678411536	1.32461318	0.01043797	93.09905702	0.5197682102796093	True
96	0.021729655363861657	0.99703518	0.01023692	91.13641444	0.5194025284199569	True
112	0.02075089678411536	1.12832015	0.01151358	98.00304897	0.5190141615513468	False
91	0.021729655363861657	1.27451635	0.01371534	96.25879035	0.5169834879953166	False
23	0.07663630465478899	1.70315417	0.01156775	76.36426947	0.5155267338191193	False
78	0.1857413844574755	0.02147342	48.90373733	0.08816444	0.3738626622424653	True
76	0.1857413844574755	0.06077978	0.24318007	22.44944351	0.3735956125375954	False
77	0.16224022841606936	0.01520425	70.85203685	0.06896992	0.3677932437005022	True
51	0.16224022841606936	0.01833348	0.08270222	23.2822532	0.3677119176826218	False
48	0.2934370103557102	24.71324243	35.21087776	14.42114605	0.3435721552782172	True
43	0.2934370103557102	0.12889021	0.05684268	0.04312585	0.3431308516726065	False
30	0.10905035996675017	0.08186979	0.01887283	17.01617205	0.3361473832466228	True
25	0.10905035996675017	1.82904796	0.40573461	20.39561373	0.3349948764307476	False
113	0.21566817718170275	0.06110604	72.39146795	0.70325307	0.32810124361507353	True
119	0.21566817761451126	0.05361814	0.60435338	29.51929869	0.32782246133705306	False
122	0.1634371959913104	66.20724122	4.73203985	0.01290501	0.32466723924088403	True
126	0.1634371959913104	0.02419408	6.47899916	83.86769852	0.3233578630716456	False
40	0.18881325398204016	0.24038360000000003	0.10672728	8.80334769	0.3191845356296106	True
80	0.18881325398204016	6.62576993	35.751048100000006	2.88163712	0.3185463144661881	False
81	0.07433014588384992	0.05821553	26.21605871	0.32814547	0.3050337614144196	True
36	0.07433014588384992	0.32630596	1.91067111	31.14078361	0.304954016590304	False
99	0.13261699301112606	0.05708469	17.02466538	48.98021972	0.2917905711404802	True
100	0.13261699301112606	6.83808492	0.08205613	20.68014309	0.29165461321892616	False
103	0.16822973860443394	0.03074445	0.06372355	65.11912433	0.2703170664975326	True
98	0.16822973860443394	0.03876607	0.08344673	34.31858412	0.2703120595522585	False
125	0.13317349942248935	17.00126365	0.024572999999999998	9.01767149	0.24747696479328735	True
124	0.13317349942248935	0.02468219	10.94242733	21.86315846	0.2472806898118468	False
2	0.18585610598016244	28.61323445	0.01087263	28.058621600000002	0.24589672364000856	True
121	0.19725891749216348	39.9287142	88.2374195	0.01289843	0.24588776154627984	True
127	0.19725891749216348	41.74694346	0.01046657	88.83948549	0.2458781987864708	False
111	0.1858866166719652	33.10557553	0.01067491	46.41759308	0.2458142126645563	True
120	0.1439961954679957	0.06147313	0.0103474	87.01963972	0.24580894156182015	True
58	0.16042435036693234	29.07720109	0.01796723	12.57853906	0.245763702684884	True
117	0.1858866166719652	44.67231617	0.02039532	36.41565174	0.2457491207168929	False
123	0.14399619554013046	0.01184643	63.36558449	0.17078691	0.2457236052123998	False
70	0.1604243498619891	0.0235797	10.07698035	28.70479484	0.2456493429901133	False
79	0.0314344878852402	37.36414795	0.01258444	88.72802803	0.19429140242799148	True
9	0.05912762130387916	70.76810896	31.369029700000002	0.01001934	0.19423935439113607	True
6	0.05912762130387916	14.16234941	0.01070542	33.39286152	0.1941026731022885	False
61	0.0314344878852402	23.4660862	11.26295249	0.01325755	0.19351383834764047	False
87	0.07360493583597247	3.58740756	11.19593985	0.06428084	0.15505603653062125	True
97	0.07360493605237672	0.02470128	2.54150117	0.7925631	0.1549595120811588	False
17	0.10203567248569864	16.47125667	0.08263886	0.03013419	0.14285644193201247	True
109	0.06177593864755945	16.97605705	0.05015805	0.0183382	0.14282394847228028	True
33	0.09667835335615936	0.03431805	52.51486569	18.22049293	0.14279958741235885	True
118	0.06177593864755945	0.05435401	0.02002137	13.27681462	0.14279755552066326	False
68	0.09667835328402463	16.50753343	5.55769292	0.02132827	0.1426745643978672	False
85	0.032958463210576806	0.01127868	33.54936951	12.65761672	0.14262862199069434	True
37	0.10203567255783337	3.27649558	1.25785571	75.55294635	0.14260137373732232	False
88	0.032958463210576806	0.01618003	14.18677791	4.08388049	0.14087873995406808	False
107	0.07342439697855563	0.0462351	47.70660284	20.50498513	0.1116716129285414	True
115	0.026299616677764814	0.01433115	35.4715658	14.12644753	0.1115158957114378	True
108	0.026299616677764814	0.01569869	14.9465636	6.50488557	0.1111717963531928	False
105	0.07342439697855563	1.01539059	0.43482073	0.0166257	0.11114282977789232	False
31	0.021380460911675517	23.10212006	4.35297253	0.01566579	0.09184377335066488	True
8	0.023178027049062758	56.84335064	0.09494847	11.01217801	0.09173066829563647	True
32	0.021380460911675517	28.58087864	0.02149503	5.03911775	0.0917141321250778	False
