CRN	one	r0	r1	r2	r3	score
91	0.43297087843242754	56.16544519	3.18512341	19.34296191	0.03828618	0.49169390968982707
140	0.35115163694869866	13.94685873	0.79483347	4.65995991	0.0389938	0.4915382594859081
98	0.3193549477055922	46.09603008	0.02933248	2.675672	16.06709928	0.49143488865499435
265	0.3232799610740404	99.19310962	8.45782704	0.06246819	39.87262294	0.4909525348210945
117	0.35436464172237586	15.67477865	1.12421941	0.01618826	5.95243942	0.4909196078315025
282	0.3306548282643974	13.34333929	0.58402737	0.01177396	3.8922934	0.49071063136292187
222	0.16398199543736014	79.84439716	4.61739181	0.02705893	26.86203183	0.490419114271506
94	0.32111763798879145	3.89676074	0.18814945	1.18708961	0.01082994	0.4901352030683456
33	0.22021931558127267	24.47122256	0.01484114	1.64245786	8.85882691	0.48978362773653344
61	0.39120872132949386	0.02428577	41.90230934	3.75708003	15.49852729	0.4897622388448005
30	0.12240095405345537	42.90711528	0.02119627	3.80351531	16.40946973	0.487751764678442
221	0.31892687880720855	28.91461393	2.19566318	0.10371224	11.71121067	0.4864749261875388
175	0.2862299505275732	26.15012129	0.01886161	8.88556686	4.37951026	0.4695815015608374
87	0.3312575023597642	0.02153615	9.05389112	3.08644888	1.73124369	0.4690109950925278
6	0.2872932563746872	10.45430581	0.01952544	3.69510997	1.78412237	0.4686803451866668
322	0.2958490231964021	29.80024112	0.05467226	8.9637057	3.51110831	0.4683135026067192
167	0.35831706766716126	2.16581546	0.67333484	0.0131169	0.23899403	0.4681901913498935
163	0.37368130162595325	3.60726758	1.23243135	0.01840142	0.41580134	0.46749433776565136
323	0.331301132271056	72.32802174	0.24641384	21.40524446	7.02127309	0.4674390916345641
360	0.3614844533416243	11.93772235	0.35102888	2.03427917	0.0297023	0.46328481000324606
263	0.33436198732392675	27.42640511	1.01575287	0.04449136	4.75802877	0.4631541966897405
264	0.3244395408466231	79.83678338	3.58491169	0.01456345	15.67830858	0.46271406693294986
141	0.3305429769113596	58.40578134	1.47675825	0.01063775	10.01297726	0.4626199234352481
288	0.13663170298621674	68.61556838	1.98717041	0.01798633	11.88111232	0.46177348906105636
76	0.24248079854299345	0.01040469	44.86144827	91.17305243	0.01115403	0.4614736933526873
13	0.41498611047891804	21.09686615	44.19567853	0.03218025	0.06878369	0.46146279422446196
73	0.3169255369004589	44.54917294	0.01446915	0.03882244	92.28025968	0.4614581587731608
92	0.3266965930194909	0.01918191	21.05332927	42.40122425	0.02021391	0.46143979283248177
326	0.34569661310088395	37.28667588	0.02591822	75.14658217	0.01402853	0.4614333889255995
119	0.27533477066995726	0.03358527	20.9076712	42.92879782	0.01336028	0.461426454467616
183	0.27679991209804417	23.11739211	0.02979063	46.4344161	0.01364814	0.4614256417253647
137	0.3743949172387303	0.01069254	21.09392888	43.91571898	0.05761113	0.46142158385702314
186	0.15964459771820433	0.01216348	36.73069314	74.03196714	0.04703979	0.46136743857438683
176	0.38008898981190536	37.72498491	0.03480099	78.49968466	0.15818175	0.4613424488601013
328	0.33274975650002403	44.11900837	0.06859071	92.34862697	0.05052896	0.461307003502046
184	0.2929804565979003	3.27361253	0.0100312	6.94268679	0.01333506	0.46128213432493115
293	0.31921704459831446	22.79704636	0.06079963	0.65600752	3.43546023	0.4612628672047948
93	0.33200016086640943	0.01265717	19.12000842	41.62979964	0.01248707	0.46121548664707046
307	0.12121472460167318	0.01077749	32.43894237	0.01077284	68.21211183	0.4612065412164694
138	0.2908454368048391	0.01084547	11.60464424	22.55649277	0.01100589	0.4611923582979267
283	0.27438281996092173	0.09088686	26.38525846	0.01185045	52.85325232	0.4611878793790375
180	0.3209488869597452	17.24043517	0.0653575	35.25504208	0.01239577	0.46109295819657403
99	0.33662125468289505	0.13021034	0.01652388	27.76308331	58.4589621	0.461087993377995
182	0.2799389388603579	31.90732947	0.02118908	69.26799606	0.18001301	0.46107299519248474
159	0.18402328102518867	31.59844897	0.02579889	0.01018475	63.46184558	0.46106960702318117
15	0.3929671409468331	23.56684744	48.25925594	0.23959073	0.01063205	0.46106795816701895
325	0.34853532038439405	3.7897605	0.01034892	7.71959284	0.03360497	0.46104915609962904
32	0.16249865239155936	0.01597562	0.02468192	32.26383408	63.24802562	0.4610266995414311
157	0.3534389299572618	33.70368492	0.07717248	0.11518066	69.39118716	0.4609804858354558
74	0.32030708055487656	11.19127995	0.12441843	0.01053095	22.71326687	0.4609780192597444
139	0.35703701319260767	0.01473957	2.64507066	5.28582805	0.01454502	0.4609617369313782
103	0.09504758202547768	0.0172441	30.76129219	0.01458937	63.95644648	0.46094941819123253
101	0.3406685091169876	0.08997262	31.93329672	0.0150553	61.41264426	0.46090432127548836
77	0.14214125205040676	0.0164152	44.23602621	0.04814228	85.14458767	0.46086963160109545
177	0.3913893787764431	5.66653468	0.04139971	11.35472527	0.0535547	0.4608303070524794
262	0.24071962626351615	48.93490076	1.93453184	0.01554155	7.61120866	0.460819866412738
31	0.09856488984750547	0.05897239	0.02734417	46.42440824	92.81975855	0.4608187059809819
178	0.11748747406606119	13.06580709	0.01072704	25.90849618	0.06725812	0.46081076726298037
107	0.06915888283823762	0.02035076	0.01019143	31.33983426	64.90297651	0.4607966609515443
105	0.25729116881919795	0.02225544	0.01602052	11.10958429	22.44055788	0.46077806699291407
14	0.300339982313462	10.07527	19.64774684	0.08332854	0.05891809	0.4607523857227607
285	0.05681056766066507	0.01715429	47.45016181	0.02363064	92.62273275	0.4607003329971464
355	0.24499571348298033	0.02274458	13.82141226	0.03984223	28.14024104	0.460694223832861
100	0.3471435638757393	0.21429986	25.26467283	0.06511952	53.85651399	0.4606409256286179
181	0.2974131308353082	17.62228131	0.01449831	32.9802638	0.14073458	0.4605445143585815
152	0.30304448000540324	4.3105511	0.01549323	9.05401912	0.05008088	0.46047899306487394
63	0.27936732750405124	7.69880581	0.05847172	0.09510315	16.69048236	0.46046126306416896
284	0.2776787539473436	0.27000705	18.86840736	0.01498436	38.89839663	0.4603210739344642
220	0.19160787272150492	0.14055179	52.21735207	0.16999083	98.36254345	0.46029253814790294
185	0.1862102314918636	37.01907591	0.31741042	73.12150538	0.13796663	0.4602419729851453
118	0.3606142359954141	0.02289876	7.5782613	0.02502244	14.41644742	0.4602275173972399
29	0.16509313953720026	0.06165541	0.01555045	14.97629843	30.88918889	0.4601970097350967
179	0.15430833919514145	21.06593921	0.03449817	40.85167432	0.22423151	0.460185483467337
160	0.07277040117115179	19.14089519	0.01780436	0.060343	42.12466949	0.4601566288451717
212	0.09875164578279677	0.02064243	7.87667938	0.01003121	16.7273151	0.46015530661516674
