CRN	one	r0	r1	score
109	0.452149954425005	0.05281415	0.08934156	0.4776384728024841
108	0.452149954425005	0.43146663	0.73111051	0.4776363046482419
107	0.452149954425005	0.08498326	0.14419896	0.4776359556603116
29	0.4662537562208987	0.2053926	0.26679409	0.47282860955337336
31	0.4662537562208987	29.0929651	37.75546646	0.47282834251052136
97	0.4662537562208987	12.59298254	16.43151128	0.47282314354253724
18	0.45710747794435924	44.68381516	57.77999938	0.4636106982941247
113	0.45710747794435924	0.37910387	0.48907154	0.4636094272797937
19	0.45710747794435924	23.72383762	30.92514002	0.46360849544306676
82	0.45710747794435924	6.5459033	8.53138771	0.4636083426616619
110	0.45710747794435924	0.26651994	0.34772651	0.4636073339292894
116	0.45710747794435924	7.23900235	9.29780668	0.4636033617570333
115	0.45710747794435924	0.11758464	0.15514627	0.4635820087162721
117	0.45710747794435924	0.13520158	0.17171201	0.4635715230644454
20	0.45710747794435924	0.10008306	0.12256751	0.46330749263175697
0	0.4147478492486457	0.0738237	0.1505653	0.4615914504500098
95	0.43736864457141333	11.23331229	18.83064964	0.45802368826420353
94	0.43736864457141333	4.52592691	7.59105845	0.45802367239455805
28	0.43736864457141333	1.02788099	1.72298275	0.45802361144069265
32	0.43736864457141333	0.06582026	0.11136295	0.4580198298484514
30	0.43736864457141333	0.05534894	0.0936853	0.45801941305385413
34	0.43736864457141333	1.76415462	2.94014734	0.45801781916437295
114	0.421440429093308	0.03432611	0.05942795	0.44900343827206024
118	0.421440429093308	9.35045872	16.44024878	0.44899533450974605
119	0.421440429093308	0.1070032	0.17951647	0.4488913626520783
36	0.40534638267305395	0.06235176	0.10196824	0.427356458206616
41	0.40534638267305395	0.03630222	0.05953348	0.4273563041989204
14	0.40534638267305395	11.80492625	19.35097734	0.42735616274267163
40	0.40534638267305395	3.11625806	5.08570205	0.42735518423476015
10	0.40534638267305395	0.15361274	0.25216779	0.42735479045114877
12	0.40534638267305395	0.01779267	0.02910248	0.42735467597329724
35	0.40534638267305395	9.46789836	15.56266158	0.42735462396414103
