CRN	one	r0	r1	score
5	0.4147478492486457	0.99775515	1.98029612	0.4614793896897868
4	0.40534638267305395	0.43699886	0.71053667	0.4273522593148343
0	0.387109300124744	0.03028571	0.02560864	0.38864663148796064
3	0.3872305037483844	0.06229173	0.06136648	0.38724066529877016
1	0.30254377400856197	0.0674689	0.16766108	0.37631394711767385
7	0.1924102973949353	3.13373958	10.43514423	0.3360673314891372
2	0.31591783194314266	9.67446787	6.4405911	0.32947674982319197
6	0.14575506556686146	95.42527498	21.63217611	0.30883406908915045
10	0.16763519157090628	0.35674011	0.08413516	0.2929064022679692
9	0.16526549384138065	0.08201412	0.01925462	0.2873695404619388
8	0.12871104608393394	0.01385632	50.45946889	0.19995890099132185
