CRN	one	r0	r1	r2	r3	r4	score
366	0.1533075835555677	34.11667193	0.01852268	2.22675222	14.11040965	0.01037718	0.4864751159740714
1162	0.0791524764706955	22.93266117	0.01236648	1.8446243	0.01689799	8.00336945	0.4862459702681454
1255	0.13706359004916083	36.62172827	0.01671067	4.99062152	18.21461703	0.0181728	0.48598843600268715
931	0.3632723703017696	11.68086338	0.07168367	0.82138899	0.0203154	3.83444564	0.4858516260254419
387	0.14702051751501974	32.72021583	1.99634597	0.01536661	8.86602283	0.06445418	0.48572702168105114
364	0.06703455175633018	76.52565216	0.01247654	11.81848509	0.0212545	40.86581467	0.4856503145956136
739	0.36061213889390265	0.31557233	82.47827697	12.16616569	50.86959011	0.10376235	0.4856205347009838
1161	0.1335212370412232	95.28091549	0.01880818	14.29596276	0.01283326	60.86652902	0.4854495794503193
197	0.31816804653499897	75.8157208	0.52443497	7.2795692	0.12334517	35.85546748	0.48517635162034095
1147	0.26835326055822206	89.01786597	0.08393148	0.03198917	15.39366283	52.59817978	0.4851734284316491
1153	0.33597282133049083	88.87868279	17.24410335	0.01819614	0.01061858	57.09119588	0.4849246700079897
1152	0.2846106329692254	88.31149537	4.94632013	0.30897908	1.52597052	35.02441908	0.4836780300818172
436	0.349211591186825	75.88792852	14.02050366	0.31505569	50.00438225	0.04738317	0.4829983591357139
1093	0.11658078192674913	26.34539894	0.04211062	1.62288184	8.83524116	0.01402984	0.4806500047808927
914	0.1319559208566814	73.35874034	18.25523053	0.1222736	0.02021379	54.60124992	0.4797468108885158
569	0.10980256738333202	60.76655505	0.01728722	23.31596673	0.19247106	62.74389207	0.47655022477788617
827	0.27914775112219675	47.1947081	0.012002	16.91248928	0.012255	8.06497878	0.46994661067055854
612	0.31735785323731236	51.85356534	0.02746927	0.01151028	20.14569396	11.54599746	0.4695114464536944
511	0.3490005407719884	0.02301339	60.6964129	19.04890345	0.0357836	8.17224738	0.46944887756325326
738	0.3310727400847499	0.0279928	60.2505438	0.01154758	18.91543657	7.51250015	0.46934192437628347
820	0.3252610416995011	77.5038597	0.10596824	29.5022384	0.02948513	14.76443928	0.46928045135699553
181	0.24233915373399242	73.7798691	0.03894176	0.07724479	26.10532751	12.70327632	0.4692591169270004
359	0.33039438646348845	20.93768306	0.01317309	6.87051727	0.01671504	3.37673823	0.46918503626788477
996	0.2630560423728522	33.11378212	0.03412724	0.01974437	13.35930949	7.44701479	0.46912000390352654
2	0.32419568794677656	0.04394955	47.29315612	0.01668612	13.91939761	6.18852201	0.46869556533080914
822	0.3607041471308091	45.34878193	0.05935834	13.98924163	0.03334441	5.05359118	0.46865445833247005
821	0.32854079939564224	95.33130991	0.03748154	41.46711796	0.04775246	21.08002481	0.4686135831030893
506	0.2622326628424919	52.30779384	0.01202483	21.20890869	0.18649153	12.78652274	0.46855993194350454
1313	0.25609549801039444	35.56259684	0.0423724	0.05550146	13.46634793	8.02898784	0.46845205434968723
414	0.3929791369560981	12.6785008	4.2291155	0.04960735	0.01913398	2.27336644	0.46838136864054186
613	0.3117090416143076	72.4936231	0.17844353	0.01969217	26.44936012	15.14959791	0.46807202532066167
21	0.2983326195353634	55.59818735	0.07314909	0.02751797	16.4268618	6.38948939	0.46802012624206923
31	0.2519616911070968	49.17899678	0.02837698	20.80442483	0.02591452	14.72580248	0.46792178060652195
733	0.3473419826298759	0.01511983	25.0704557	0.07252115	11.6396973	6.92225762	0.4678084157221167
826	0.24971216561852683	0.09357409	56.05085897	19.93804588	0.10501435	13.58746615	0.4675679752288504
828	0.2650521044485607	74.00647537	0.36036674	25.83955883	0.0790685	13.34069378	0.46729008641186864
1296	0.33437368960048136	0.01051512	39.76275738	1.22882246	0.01478997	6.3225509	0.4634910384263128
763	0.35329298858602476	62.5888293	0.0118967	2.17296865	0.0128901	11.39571438	0.4633098552612907
1372	0.2757313409189741	57.98352757	1.80110567	0.04236788	0.03542254	10.27727395	0.4630599501836129
1311	0.3388172250953699	0.0352444	39.06281137	1.25723683	6.08131231	0.01286031	0.46297997957772336
126	0.3292837015013451	0.01305199	29.13313088	0.01698836	0.97175372	5.39825276	0.46279358020451145
6	0.23838470628491568	80.32689559	0.01814487	2.25705793	0.01003966	12.98392712	0.4627742087053888
9	0.3319605128655652	0.06933258	56.41112032	2.03830289	0.10142178	9.59087039	0.4623948521886566
944	0.2839933134272858	83.81963764	3.02599451	0.05402134	0.03050277	16.41851774	0.46232341887494105
