crn	r0	r1	r2
0	0111	0100	0011	0002
1	0022	0012	0011	0002
10	0111	0022	0002	0001
100	0222	0111	0200	0012
101	0222	0111	0201	0012
102	0122	0111	0201	0012
103	0122	0111	0022	0012
104	0111	0102	0022	0012
105	0211	0112	0111	0012
106	0122	0112	0111	0022
107	0122	0112	0111	0012
108	0122	0112	0111	0002
109	0122	0112	0111	0102
11	0212	0201	0002	0001
110	0212	0112	0111	0102
111	0222	0112	0111	0102
112	0222	0112	0111	0100
113	0222	0211	0111	0002
114	0212	0201	0022	0002
115	0212	0211	0022	0002
116	0212	0111	0022	0002
117	0212	0111	0022	0012
118	0211	0111	0022	0012
119	0211	0111	0012	0011
12	0111	0201	0002	0001
120	1222	0112	0102	0100
121	1202	0112	0102	0100
122	1202	0111	0102	0100
123	1200	0111	0102	0100
124	1200	0112	0102	0100
125	1200	0122	0112	0100
126	1202	0122	0111	0102
127	1222	1202	0111	0102
128	1211	1202	0112	0102
129	1211	1202	0111	0102
13	0111	0012	0002	0001
130	0212	0122	0111	0002
131	0222	0122	0111	0002
132	0211	0122	0111	0002
133	0211	0122	0112	0111
134	0211	0102	0012	0001
135	0211	0201	0012	0001
136	0211	0200	0012	0001
137	0211	0111	0012	0002
138	0211	0111	0012	0001
139	0222	0111	0012	0001
14	0111	0012	0011	0001
140	0212	0111	0012	0001
141	0212	0111	0011	0002
142	0212	0100	0011	0002
143	0222	0111	0022	0012
144	0200	0022	0012	0001
145	0100	0012	0011	0001
146	1202	0112	0111	0102
147	0211	0112	0111	0102
148	0211	0112	0111	0002
149	0212	0112	0111	0002
15	0111	0012	0011	0002
150	0222	0112	0111	0002
151	0201	0022	0012	0001
152	0111	0022	0012	0002
153	0111	0022	0011	0002
154	0212	0211	0102	0002
155	0111	0201	0102	0012
156	0111	0201	0022	0012
157	0111	0200	0022	0012
158	0111	0100	0022	0012
159	0111	0102	0200	0012
16	0111	0102	0011	0002
160	0111	0102	0100	0012
161	0200	0012	0002	0001
162	0200	0012	0011	0001
163	0212	0012	0011	0001
164	0222	0012	0011	0001
165	0201	0012	0011	0001
166	0201	0012	0002	0001
167	0212	0012	0002	0001
168	0211	0012	0002	0001
169	0211	0012	0011	0001
17	0022	0012	0002	0001
170	0212	0011	0002	0001
171	0212	0022	0012	0011
172	0212	0201	0012	0011
173	0212	0200	0012	0011
174	0212	0211	0012	0011
175	0212	0211	0012	0001
176	0111	0201	0012	0002
177	0111	0200	0012	0002
178	0111	0102	0012	0002
179	0111	0102	0012	0001
18	0012	0011	0002	0001
180	0111	0100	0012	0001
181	0111	0200	0012	0001
182	0111	0200	0012	0011
183	0111	0201	0012	0011
184	0111	0201	0012	0001
185	0111	0100	0012	0002
