crn	r0	r1	r2
0	0111	0012
1	0004	0002
10	0025	0004
100	0112	0100
101	0112	0105
102	0112	0111
103	0111	0102
104	0113	0112
105	0114	0112
106	0115	0112
107	0115	0012
108	0113	0012
109	0114	0012
11	0023	0004
110	0115	0023
111	0111	0002
112	0044	0024
113	0114	0024
114	0111	0024
115	0114	0023
116	0114	0025
117	0113	0025
118	0111	0023
119	0111	0025
12	0025	0003
120	0115	0502
121	0114	0402
122	0113	0302
123	1200	0112
124	0211	0102
125	1205	0112
126	1203	0112
127	1204	0112
13	0012	0003
14	0024	0003
15	0115	0002
16	0114	0002
17	0113	0002
18	0113	0024
19	0115	0024
2	0003	0002
20	0115	0025
21	0045	0025
22	0044	0002
23	0045	0002
24	0055	0002
25	0014	0002
26	0015	0002
27	0011	0002
28	0423	0114
29	0412	0114
3	0013	0002
30	0425	0114
31	0512	0115
32	0524	0115
33	0525	0115
34	0523	0115
35	0025	0005
36	0025	0001
37	0012	0005
38	0024	0005
39	0023	0005
4	0033	0002
40	0023	0001
41	0012	0001
42	0014	0012
43	0015	0012
44	0013	0012
45	0033	0012
46	0035	0012
47	0055	0012
48	0045	0012
49	0034	0012
5	0034	0002
50	0044	0012
51	0035	0025
52	0035	0024
53	0055	0024
54	0033	0024
55	0033	0025
56	0055	0025
57	0034	0025
58	0044	0025
59	0025	0015
6	0035	0002
60	0023	0015
61	0024	0015
62	0023	0003
63	0023	0013
64	0025	0013
65	0024	0013
66	0024	0001
67	0024	0004
68	0024	0014
69	0034	0024
7	0005	0002
70	0045	0024
71	0024	0011
72	0012	0011
73	0023	0011
74	0025	0011
75	0025	0014
76	0023	0014
77	0045	0023
78	0055	0023
79	0044	0023
8	0002	0001
80	0034	0023
81	0035	0023
82	0113	0023
83	0033	0023
84	0323	0113
85	0133	0112
86	0135	0112
87	0134	0112
88	0145	0112
89	0144	0112
9	0012	0004
90	0124	0111
91	0123	0111
92	0125	0111
93	0155	0112
94	0325	0113
95	0324	0113
96	0424	0114
97	0312	0113
98	0112	0103
99	0112	0104
