crn	r0	r1	r2
0	2355	0024	0014
1	0034	0022	0012
10	0524	0222	0115
100	3401	0014	0002
1000	0200	0023	0003
10000	0115	0503	0012
10001	0115	0504	0012
10002	0113	0401	0012
10003	0113	0501	0012
10004	0115	0501	0012
10005	0115	0500	0012
10006	0115	0500	0024
10007	0115	0500	0023
10008	0115	0504	0023
10009	3414	0033	0023
1001	0100	0023	0003
10010	3445	0033	0023
10011	3444	0033	0023
10012	3415	0033	0023
10013	3455	0033	0023
10014	4445	0033	0023
10015	4414	0033	0023
10016	3445	0033	0012
10017	1445	0033	0012
10018	1445	0033	0023
10019	1444	0033	0023
1002	0100	0024	0003
10020	1415	0033	0023
10021	1455	0033	0023
10022	1445	0033	0025
10023	1444	0033	0025
10024	1415	0033	0025
10025	1411	0033	0025
10026	1411	0033	0023
10027	3414	0033	0025
10028	3445	0033	0025
10029	3444	0033	0025
1003	0100	0025	0003
10030	3415	0033	0025
10031	3411	0033	0025
10032	3455	0033	0025
10033	4414	0033	0025
10034	4415	0033	0025
10035	4411	0033	0025
10036	1314	0044	0024
10037	3445	0044	0024
10038	1315	0044	0024
10039	1311	0044	0024
1004	0100	0025	0004
10040	3315	0044	0024
10041	3415	0044	0024
10042	1315	0044	0025
10043	1311	0044	0025
10044	1415	0035	0023
10045	1455	0035	0023
10046	1411	0035	0023
10047	1411	0055	0023
10048	1415	0055	0023
10049	3415	0035	0023
1005	1400	0025	0001
10050	3455	0035	0023
10051	3415	0035	0025
10052	3411	0035	0025
10053	3455	0035	0025
10054	3415	0055	0025
10055	3455	0055	0025
10056	3411	0055	0025
10057	3315	0055	0025
10058	3415	0035	0012
10059	3455	0035	0012
1006	1435	0025	0001
10060	3415	0055	0024
10061	3455	0055	0024
10062	1311	0055	0024
10063	1315	0055	0024
10064	1311	0055	0025
10065	1315	0055	0012
10066	1415	0055	0025
10067	1315	0055	0025
10068	1411	0055	0025
10069	1411	0035	0025
1007	1405	0025	0001
10070	1415	0035	0012
10071	1455	0035	0012
10072	1415	0035	0025
10073	3315	0055	0024
10074	4415	0035	0025
10075	4455	0035	0025
10076	4415	0055	0025
10077	3315	0045	0024
10078	3415	0045	0024
10079	3415	0044	0025
1008	1455	0025	0001
10080	3415	0045	0025
10081	3455	0044	0025
10082	3315	0044	0025
10083	3315	0045	0025
10084	0055	0035	0024
10085	0315	0044	0024
10086	0315	0045	0024
10087	0315	0055	0024
10088	0315	0045	0025
10089	0315	0044	0025
1009	4435	0025	0001
10090	0315	0044	0012
10091	0315	0045	0012
10092	0315	0055	0012
10093	3411	0044	0025
10094	3411	0045	0025
10095	4411	0055	0025
10096	0311	0045	0024
10097	0311	0055	0024
10098	0311	0055	0025
10099	0311	0045	0025
101	4501	0014	0002
1010	4455	0025	0001
10100	0311	0044	0025
10101	4415	0055	0023
10102	4411	0055	0023
10103	0411	0055	0023
10104	0455	0055	0023
10105	0415	0055	0023
10106	0055	0035	0023
10107	0455	0035	0023
10108	4415	0035	0023
10109	4411	0035	0023
1011	4433	0025	0001
10110	4455	0035	0023
10111	0115	0034	0023
10112	0115	0033	0023
10113	0115	0034	0025
10114	0115	0033	0025
10115	0115	0044	0025
10116	4411	0035	0025
10117	1524	0002	0001
10118	2545	0003	0002
10119	3403	0002	0001
1012	1433	0025	0001
