crn	r0	r1	r2
0	0222	0212	0111	0022	0002
1	0222	0212	0211	0012	0002
10	0222	0212	0111	0201	0012
100	1222	1211	1202	0112	0111
1000	1122	1201	1101	0112	0100
1001	1122	1102	1101	0111	0100
1002	1122	1102	1100	0111	0100
1003	1122	1100	0111	0102	0100
1004	1122	1100	0112	0102	0100
1005	1101	1100	0112	0102	0100
1006	1101	1200	0111	0102	0100
1007	1101	0122	0111	0102	0100
1008	1101	1100	0111	0102	0100
1009	1211	1122	0111	0102	0100
101	1222	1202	1200	0112	0111
1010	1211	1102	0111	0102	0100
1011	1201	1102	0111	0102	0100
1012	1211	1102	0112	0102	0100
1013	0111	0102	0200	0002	0001
1014	0111	0102	0100	0002	0001
1015	0212	0211	0102	0200	0012
1016	1101	1100	0112	0111	0102
1017	1101	1100	0122	0111	0102
1018	1112	1101	1100	0111	0102
1019	1112	1101	1100	0112	0100
102	1222	1202	1200	0112	0100
1020	0212	0211	0201	0102	0012
1021	0212	0211	0200	0012	0011
1022	0212	0211	0102	0012	0011
1023	0222	0212	0111	0012	0011
1024	0111	0200	0100	0022	0012
1025	1201	1101	1200	0112	0100
1026	1211	1101	1200	0112	0100
1027	1222	1102	1200	0112	0100
1028	1211	1122	1201	0112	0100
1029	1202	1102	1200	0111	0100
103	1202	1201	1200	0112	0100
1030	1201	1102	1100	0111	0100
1031	1211	1102	1100	0111	0100
1032	1201	1102	1100	0112	0100
1033	1211	1102	1100	0112	0100
1034	1201	1102	1101	0112	0100
1035	1211	1102	1101	0112	0100
1036	1201	1102	1101	0111	0100
1037	1211	1102	1101	0111	0100
1038	1202	1100	0112	0111	0100
1039	1202	1101	0112	0111	0100
104	1202	1201	1100	0112	0100
1040	1222	1101	0112	0111	0100
1041	1201	1101	0112	0111	0100
1042	1211	1101	0112	0111	0100
1043	1202	1101	0122	0112	0100
1044	1201	1101	0122	0112	0100
1045	1211	1101	0122	0112	0100
1046	1202	1201	0122	0112	0111
1047	1202	1201	0122	0112	0100
1048	1201	1200	0111	0102	0100
1049	0111	0201	0200	0012	0002
105	1202	1200	1100	0112	0100
1050	1202	1201	1101	0112	0100
1051	0212	0211	0102	0002	0001
1052	0212	0211	0112	0102	0001
1053	0222	0211	0112	0102	0001
1054	0212	0211	0112	0102	0002
1055	0111	0201	0102	0002	0001
1056	0111	0201	0102	0012	0001
1057	0112	0102	0100	0011	0001
1058	0122	0112	0111	0011	0001
1059	0122	0112	0100	0011	0001
106	1202	1200	1100	0112	0111
1060	0222	0112	0100	0011	0001
1061	0222	0112	0111	0002	0001
1062	0222	0112	0111	0102	0001
1063	0222	0112	0111	0102	0100
1064	0212	0112	0111	0102	0100
1065	0212	0112	0111	0002	0001
1066	0211	0112	0111	0002	0001
