crn	r0	r1	r2
0	0244	0212	0002
1	0033	0023	0022
10	2422	0002	0001
100	0034	0022	0012
1000	0024	0003	0001
10000	0123	0113	0301
10001	0123	0114	0401
10002	0323	0114	0403
10003	0324	0114	0403
10004	0124	0114	0401
10005	0134	0114	0402
10006	3424	1314	0003
10007	1312	0304	0003
10008	1324	1311	0003
10009	1324	0301	0003
1001	0023	0022	0004
10010	1312	0301	0003
10011	1412	0034	0003
10012	3423	0034	0001
10013	3424	0034	0001
10014	3424	0034	0004
10015	0424	0044	0003
10016	0424	0044	0001
10017	1101	0113	0002
10018	1101	0114	0002
10019	3312	0113	0004
1002	0023	0022	0001
10020	3312	0113	0001
10021	3324	0113	0004
10022	3324	0113	0001
10023	0424	0134	0001
10024	0424	0144	0001
10025	0423	0144	0001
10026	0412	0144	0001
10027	1114	0444	0002
10028	1114	0434	0002
10029	1114	0113	0002
1003	0024	0022	0001
10030	1114	0114	0002
10031	1113	0113	0002
10032	1113	0114	0002
10033	1413	0114	0002
10034	1323	1311	0003
10035	4423	0044	0003
10036	4423	0044	0001
10037	4412	0044	0003
10038	4412	0044	0001
10039	3412	0034	0001
1004	0024	0022	0004
10040	1412	0034	0001
10041	1312	0034	0001
10042	1312	0034	0004
10043	0424	0014	0003
10044	0424	0014	0001
10045	0424	0034	0001
10046	3304	0112	0103
10047	3344	0112	0103
10048	4433	0112	0104
10049	4400	0112	0104
1005	0112	0104	0103
10050	0414	0112	0104
10051	1334	1323	0013
10052	1333	1323	0013
10053	1333	1324	0013
10054	1334	1324	0013
10055	1344	1324	0013
10056	1344	1323	0013
10057	1344	0023	0013
10058	1344	0024	0013
10059	1344	1312	0034
1006	0112	0103	0102
10060	1344	1312	0013
10061	1444	1312	0034
10062	1434	1312	0034
10063	4412	0044	0033
10064	4423	0044	0011
10065	3423	0034	0011
10066	1312	0014	0013
10067	1412	0014	0013
10068	1412	0014	0011
10069	1423	0014	0011
1007	0112	0104	0102
10070	1134	0114	0112
10071	1133	0114	0112
10072	1133	0113	0023
10073	1133	0113	0024
10074	1133	0114	0024
10075	1133	0111	0012
10076	1134	0111	0012
10077	1144	0111	0012
10078	3334	0111	0023
10079	1334	0113	0023
1008	0312	0111	0102
10080	1333	0113	0023
10081	3433	0114	0023
10082	3413	0114	0023
10083	3411	0113	0024
10084	1411	0113	0024
10085	1411	0111	0024
10086	1411	0114	0024
10087	1411	0424	0034
10088	0411	0133	0024
10089	0413	0133	0024
