crn	r0	r1	r2
1239	1323	0103	0001
124	0022	0012	0011
1240	2312	0312	0113
1241	2312	0323	0013
1242	1311	0323	0013
1243	0311	0133	0023
1244	0312	0133	0013
1245	0323	0133	0013
1246	0323	0133	0011
1247	1103	0023	0003
1248	1101	0023	0003
1249	1101	0033	0002
125	0022	0012	0003
1250	2312	0033	0012
1251	2312	0033	0002
1252	1202	0033	0002
1253	1302	0013	0001
1254	1302	0013	0011
1255	0223	0302	0033
1256	0213	0102	0013
1257	0213	0102	0011
1258	3301	0023	0011
1259	3300	0023	0011
126	0022	0012	0001
1260	0323	0212	0013
1261	0323	0301	0013
1262	0323	0311	0013
1263	0323	0302	0013
1264	0312	0023	0013
1265	0323	0023	0013
1266	0323	0013	0012
1267	0312	0013	0012
1268	1223	0033	0023
1269	2312	0013	0012
127	0013	0012	0001
1270	2312	0113	0023
1271	2312	0113	0012
1272	0311	0013	0012
1273	2312	0012	0003
1274	3313	0012	0003
1275	3313	0023	0003
1276	1223	0012	0003
1277	1202	0012	0003
1278	0312	0033	0012
1279	1202	0023	0003
128	0033	0012	0001
1280	3301	0023	0001
1281	3303	0023	0011
1282	3303	0023	0001
1283	1303	0023	0003
1284	1303	0033	0023
1285	1100	0112	0111
1286	1103	0112	0111
1287	1103	0123	0111
1288	1113	0323	0111
1289	1113	0112	0111
129	0033	0012	0003
1290	1113	1112	0111
1291	1113	1112	0011
1292	1113	0012	0011
1293	1301	0023	0011
1294	3302	0111	0033
1295	1302	0111	0013
1296	1211	1100	0112
1297	1211	1103	0112
1298	1211	1133	0112
1299	1233	1103	0112
13	1223	0133	0112
130	0013	0012	0003
1300	1233	1133	0112
1301	1233	0103	0023
1302	1113	0033	0012
1303	1113	0033	0023
1304	1113	0013	0012
1305	3313	0013	0012
1306	3313	0023	0011
1307	3313	0023	0013
1308	3303	0123	0111
1309	3313	0123	0111
131	0023	0012	0003
1310	1133	1123	0011
1311	1133	1112	0011
1312	1133	0012	0011
1313	1200	0123	0111
1314	1223	0323	0113
1315	0333	0323	0133
1316	0333	0312	0133
1317	2312	0323	0113
1318	2312	0323	0033
1319	3313	3312	0033
132	0023	0012	0001
1320	3313	3312	0113
1321	1333	1312	0113
1322	1103	0323	0300
1323	0133	0112	0300
1324	0133	0112	0203
1325	1301	0023	0001
1326	1101	0012	0003
1327	1113	0012	0001
1328	1113	0012	0003
1329	1113	1112	0013
133	1312	0012	0001
1330	1113	0023	0013
1331	0302	0301	0033
1332	1312	1311	0033
1333	0312	0302	0033
1334	0222	0113	0302
1335	0222	0111	0102
1336	0222	0113	0102
1337	0211	0112	0100
1338	0213	0112	0100
1339	0233	0112	0100
134	1323	0012	0001
1340	3300	0023	0001
1341	0100	0012	0011
1342	0100	0023	0013
1343	0100	0023	0011
1344	0300	0023	0011
1345	0300	0023	0013
1346	1223	0023	0011
1347	1223	0023	0013
1348	1223	0023	0003
1349	0201	0023	0002
135	1333	0012	0001
1350	0203	0023	0002
1351	0201	0012	0002
1352	0203	0012	0002
1353	0233	0012	0002
1354	0311	0023	0013
1355	0311	0023	0011
1356	0323	0302	0033
1357	0133	0302	0033
1358	0133	0102	0013
1359	0133	0102	0011
136	1333	0011	0002
1360	0133	0123	0011
1361	1101	0323	0113
1362	1201	0123	0111
1363	1213	0123	0112
1364	1213	0123	0111
1365	1133	0123	0111
1366	1100	0123	0111
1367	1333	1213	0023
1368	1223	0111	0023
1369	0233	0102	0011
137	1303	0011	0002
1370	0211	0102	0011
1371	0311	0302	0033
1372	1311	0323	0033
1373	0313	0123	0103
1374	0313	0123	0100
1375	0113	0302	0200
1376	0113	0302	0100
1377	0113	0302	0103
1378	0113	0302	0203
1379	0111	0102	0200
138	1300	0011	0002
1380	1301	0123	0111
1381	1113	0323	0113
1382	3313	0323	0113
1383	3313	0312	0113
1384	1223	0113	0023
1385	0213	0100	0012
1386	0213	0100	0023
1387	0211	0100	0023
1388	3311	0033	0012
1389	3311	0033	0023
139	2300	0011	0002
1390	1113	1300	0323
1391	1113	1301	0323
1392	1113	0312	0113
1393	1312	0311	0003
1394	3323	0311	0003
1395	3323	3311	0033
1396	3323	1311	0033
1397	3323	3313	0033
1398	3323	3313	0113
1399	3323	3311	0113
14	1223	0123	0111
140	2313	0011	0002
1400	3323	1311	0113
1401	3323	0311	0113
1402	1333	1312	0033
1403	1323	1311	0033
1404	1323	1311	0013
1405	2311	1311	0023
1406	0233	0100	0023
1407	0311	0033	0023
1408	0311	0033	0012
1409	1223	0023	0001
141	0111	0022	0012
1410	1223	0012	0001
1411	0103	0023	0013
1412	0103	0023	0011
1413	0301	0023	0011
1414	0301	0023	0013
1415	1311	0023	0011
1416	1311	0023	0013
1417	1311	0023	0003
1418	1311	0023	0001
1419	1113	1200	0112
142	0113	0022	0012
1420	1113	1203	0112
1421	1101	0113	0023
1422	3301	0111	0023
1423	3302	0033	0011
1424	1312	0013	0011
1425	3312	0033	0011
1426	3312	1311	0033
1427	3312	0111	0033
1428	3312	0113	0011
1429	2312	0113	0112
143	0111	0022	0002
1430	0213	0133	0112
1431	0211	0133	0112
1432	0211	0133	0002
1433	0213	0133	0002
1434	0211	0102	0002
1435	0211	0102	0001
1436	0213	0102	0001
1437	0233	0102	0001
1438	0233	0102	0002
1439	0213	0102	0002
144	0113	0022	0002
1440	0233	0112	0102
1441	0211	0112	0102
1442	0211	0302	0003
1443	0213	0302	0003
1444	3302	1303	0113
1445	1312	1303	0113
1446	1312	1311	0113
1447	1312	1311	0013
1448	1312	0111	0013
1449	0113	0302	0102
145	0312	0011	0002
1450	0213	0112	0102
1451	0233	0302	0003
1452	0133	0023	0013
1453	0133	0023	0011
1454	1333	0023	0013
1455	0103	0012	0011
1456	1133	0023	0011
1457	1333	0023	0011
1458	3311	0023	0011
1459	3311	0023	0013
146	0323	0011	0002
1460	3311	0023	0003
1461	3311	0012	0003
1462	2312	0013	0002
1463	1223	0033	0002
1464	1223	0011	0002
1465	0133	0011	0002
1466	1333	0033	0002
1467	1333	0013	0002
1468	1101	1100	0112
1469	1303	1103	0112
147	0223	0033	0002
1470	1333	1103	0112
1471	1113	1103	0112
1472	1301	0111	0023
1473	3303	0111	0023
1474	1103	1101	0112
1475	0112	0203	0103
1476	0112	0203	0100
1477	0112	0201	0100
1478	0112	0201	0103
1479	0323	0211	0133
148	0223	0013	0002
1480	0322	0211	0113
1481	1201	0111	0102
1482	1213	0111	0102
1483	0211	0111	0102
1484	0213	0111	0102
1485	1213	1303	0112
1486	3300	0111	0023
1487	1311	0111	0023
1488	1311	0113	0023
1489	0322	0312	0013
149	0113	0013	0002
1490	1103	0033	0023
1491	1103	0033	0012
1492	1103	0033	0002
1493	0201	0011	0002
1494	0203	0011	0002
1495	1133	0033	0023
1496	1333	0033	0012
1497	1333	0013	0012
1498	0333	0013	0012
1499	0313	0013	0012
15	1202	0123	0111
150	0113	0011	0002
1500	0313	0033	0012
1501	0313	0033	0002
1502	0311	0033	0002
1503	0311	0013	0002
1504	0323	0133	0300
1505	0123	0113	0301
1506	0123	0113	0302
1507	3302	0111	0103
1508	3323	0111	0103
1509	1323	0111	0103
151	0111	0011	0002
1510	0323	0111	0103
1511	0312	0111	0103
1512	0323	0313	0133
1513	1100	0033	0002
1514	0100	0033	0002
1515	0100	0013	0002
1516	0100	0011	0002
1517	0103	0011	0002
1518	0103	0033	0002
1519	1101	0113	0002
152	0111	0013	0002
1520	1113	0111	0002
1521	1113	0111	0012
1522	1113	0113	0012
1523	0112	0100	0011
1524	3302	0033	0001
1525	0302	0033	0003
1526	0302	0013	0003
1527	0302	0011	0003
1528	0323	0301	0033
1529	0323	0100	0033
153	0111	0012	0002
1530	0323	0100	0013
1531	0112	0100	0013
1532	0112	0100	0033
1533	0312	0100	0033
1534	3300	0123	0111
1535	1300	0123	0111
1536	1311	0123	0113
1537	1311	0123	0111
1538	0111	0302	0103
1539	0333	0302	0103
154	0111	0012	0003
1540	0333	0312	0103
1541	0333	0323	0103
1542	0313	0112	0103
1543	0333	0112	0103
1544	0133	0102	0001
1545	0133	0112	0013
1546	0133	0112	0011
1547	0133	0112	0033
1548	1333	0033	0023
1549	1133	0333	0023
155	0111	0012	0001
1550	1103	0333	0023
1551	1103	0113	0023
1552	1103	0333	0012
1553	3301	0013	0012
1554	1311	0033	0023
1555	0301	0033	0023
1556	0103	0033	0023
1557	0103	0033	0012
1558	0103	0013	0012
1559	0100	0033	0023
156	1311	0012	0001
1560	0100	0033	0012
1561	0100	0013	0012
1562	0300	0033	0012
1563	0300	0013	0012
1564	0301	0013	0012
1565	0301	0033	0012
1566	0300	0033	0023
1567	3313	0033	0012
1568	3313	0033	0023
1569	3313	0111	0023
157	0033	0002	0001
1570	3313	0113	0023
1571	1133	0313	0023
1572	0322	0213	0113
1573	0322	0233	0113
1574	1213	0112	0102
1575	3303	0112	0103
1576	3300	0112	0103
1577	3312	1303	0113
1578	3312	3311	0113
1579	3312	0311	0113
158	0023	0022	0011
1580	3311	0312	0113
1581	1323	1311	0113
1582	0323	0133	0033
1583	0312	0133	0033
1584	0112	0103	0033
1585	0112	0103	0011
1586	0312	0133	0111
1587	0323	0133	0111
1588	3312	3311	0033
1589	3311	0323	0033
159	0023	0022	0003
1590	0111	0302	0033
1591	0111	0102	0033
1592	0111	0102	0011
1593	1311	0323	0113
1594	0322	0123	0113
1595	0333	0323	0013
1596	1113	0023	0011
1597	3311	0323	0113
1598	1311	0323	0003
1599	1302	0111	0103
16	0133	0123	0111
160	0023	0022	0001
1600	1302	0133	0111
1601	1302	0113	0111
1602	1202	0113	0302
1603	1311	0012	0003
1604	1333	0023	0003
1605	1333	0012	0003
1606	1133	0012	0003
1607	1133	0012	0001
1608	1133	0013	0002
1609	1223	0013	0002
161	0023	0013	0002
1610	0203	0013	0002
1611	0201	0013	0002
1612	0201	0033	0002
1613	0203	0033	0002
1614	3311	0013	0002
1615	1311	0013	0002
1616	3313	0013	0002
1617	0133	0013	0002
1618	0133	0033	0002
1619	0333	0033	0002
162	0023	0013	0012
1620	0333	0103	0012
1621	0333	0033	0012
1622	0233	0133	0112
1623	0233	0133	0002
1624	0213	0311	0002
1625	0213	0100	0002
1626	0233	0100	0002
1627	2312	0113	0002
1628	0213	0113	0302
1629	0211	0113	0302
163	0023	0012	0011
1630	0233	0113	0302
1631	0311	0203	0002
1632	0133	0201	0002
1633	0133	0203	0002
1634	1300	0133	0112
1635	1311	0133	0112
1636	1333	0133	0112
1637	0333	0133	0112
1638	1333	1203	0112
1639	1333	1233	0112
164	0023	0013	0011
1640	1333	1213	0112
1641	1333	1213	0002
1642	1103	0333	0002
1643	1133	0023	0013
1644	1133	0023	0001
1645	1333	0023	0001
1646	0323	0013	0001
1647	0323	0033	0001
1648	3323	0011	0003
1649	3313	0023	0001
165	0023	0011	0003
1650	3311	0023	0001
1651	1113	0023	0003
1652	1113	0023	0001
1653	1311	0033	0012
1654	1311	0033	0002
1655	0301	0033	0002
1656	0301	0013	0002
1657	1311	0013	0012
1658	3311	0013	0012
1659	0103	0013	0002
166	0023	0013	0001
1660	1113	0011	0002
1661	1113	0013	0002
1662	0313	0013	0002
1663	0103	0102	0011
1664	0103	0102	0013
1665	1333	1312	0013
1666	0333	0302	0013
1667	1333	0111	0023
1668	1333	0113	0012
1669	1333	0113	0023
167	0312	0212	0113
1670	0313	0302	0033
1671	0113	0302	0033
1672	0113	0302	0013
1673	0113	0302	0001
1674	0113	0302	0003
1675	0113	0102	0001
1676	0111	0102	0001
1677	0111	0102	0013
1678	0113	0102	0011
1679	1133	1112	0013
168	0312	0211	0113
1680	1133	0333	0012
1681	1133	0111	0012
1682	1133	0111	0023
1683	0212	0111	0102
1684	0313	0133	0112
1685	0211	0100	0002
1686	0233	0111	0102
1687	0113	0111	0302
1688	0122	0113	0302
1689	0322	0113	0302
169	0312	0213	0113
1690	0322	0113	0102
1691	0113	0301	0102
1692	0223	0111	0102
1693	1303	0133	0112
1694	1303	0113	0112
1695	1333	0113	0112
1696	1333	1133	0112
1697	1333	0323	0113
1698	1333	1113	0112
1699	1113	0033	0002
17	0212	0133	0112
170	0312	0311	0113
1700	3313	0033	0002
1701	3311	0033	0002
1702	3312	0033	0001
1703	1312	0011	0003
1704	1312	0013	0001
1705	1133	0023	0003
1706	1113	1112	0001
1707	0113	0302	0301
1708	0113	0302	0300
1709	0313	0123	0113
171	0322	0312	0113
1710	0113	0302	0011
1711	0333	0302	0003
1712	0133	0302	0003
1713	0323	0311	0033
1714	0323	0111	0033
1715	0323	0313	0033
1716	0323	0313	0013
1717	1123	1113	0011
1718	1123	0103	0001
1719	1123	1113	0001
172	0222	0312	0113
1720	1133	1112	0111
1721	1311	0302	0003
1722	0311	0302	0003
1723	0313	0302	0003
1724	0111	0302	0003
1725	0113	0302	0201
1726	0133	0112	0201
1727	0111	0102	0003
1728	3302	0133	0111
1729	3312	0133	0111
173	0223	0312	0113
1730	3323	1303	0113
1731	3323	0313	0113
1732	0323	0111	0013
1733	0112	0103	0013
1734	1133	0113	0023
1735	1133	1101	0112
1736	1133	1113	0112
1737	1133	0113	0112
1738	1103	0113	0112
1739	1113	1300	0112
174	0233	0312	0113
1740	1113	1100	0112
1741	1211	0103	0002
1742	1213	0103	0002
1743	1113	1303	0112
1744	3313	0113	0112
1745	3323	0113	0111
1746	3323	0113	0001
1747	3312	0113	0001
1748	0112	0103	0300
1749	0323	0103	0300
175	0333	0312	0113
1750	1312	0103	0003
1751	0312	0133	0001
1752	3302	0113	0111
1753	3302	0113	0100
