crn	r0	r1	r2
10188	0312	0111	0023	0002
10189	0112	0111	0023	0002
1019	0333	0122	0111	0002
10190	0123	0111	0023	0002
10191	0123	0113	0023	0002
10192	0123	0113	0112	0302
10193	0123	0113	0112	0102
10194	0123	0113	0112	0002
10195	0323	0113	0112	0302
10196	0323	0113	0112	0002
10197	0323	0113	0112	0102
10198	0323	0113	0112	0023
10199	0123	0113	0112	0012
102	0012	0011	0002	0001
1020	0333	0322	0111	0002
10200	0112	0111	0102	0023
10201	0323	0111	0102	0023
10202	0323	0113	0112	0012
10203	0323	0113	0102	0023
10204	0312	0113	0102	0023
10205	0312	0113	0112	0023
10206	0312	0113	0112	0012
10207	0323	0111	0023	0012
10208	3312	0111	0023	0012
10209	3323	0111	0023	0012
1021	0323	0322	0111	0002
10210	1323	0111	0023	0002
10211	1312	0111	0023	0002
10212	1312	0111	0012	0002
10213	0223	0111	0023	0012
10214	0212	0111	0023	0012
10215	2312	0111	0023	0012
10216	1223	1211	0123	0112
10217	1223	1213	0123	0112
10218	1223	0133	0123	0112
10219	1303	1103	0123	0112
1022	0212	0122	0113	0002
10220	1333	1103	0123	0112
10221	1333	1133	0123	0112
10222	0111	0103	0102	0002
10223	0323	0113	0022	0013
10224	0122	0113	0203	0012
10225	3303	2303	0012	0011
10226	3300	2300	0012	0011
10227	3300	1300	0012	0011
10228	3303	1303	0012	0011
10229	3303	1300	0012	0011
1023	0223	0122	0113	0002
10230	3301	1300	0012	0011
10231	3301	3300	0012	0011
10232	2301	3300	0012	0011
10233	2303	3301	0012	0011
10234	2303	3300	0012	0011
10235	2301	1300	0012	0011
10236	2301	1302	0012	0011
10237	2301	1303	0012	0011
10238	2311	1303	0012	0011
10239	2301	1301	0012	0011
1024	0223	0122	0111	0002
10240	2311	1300	0012	0011
10241	2311	1301	0012	0011
10242	2313	1301	0012	0011
10243	2313	1311	0012	0011
10244	2311	1311	0012	0011
10245	2333	1300	0012	0011
10246	2333	1301	0012	0011
10247	2333	1311	0012	0011
10248	2333	1303	0012	0011
10249	2333	1303	0012	0001
1025	0212	0122	0111	0002
10250	2311	1303	0012	0001
10251	2313	1303	0012	0001
10252	2333	1301	0012	0001
10253	2311	1301	0012	0001
10254	2313	1301	0012	0001
10255	1211	2300	0112	0100
10256	1233	2300	0112	0100
10257	1213	2300	0112	0100
10258	1233	2301	0112	0100
10259	1211	2301	0112	0100
1026	0213	0122	0111	0002
10260	1213	2301	0112	0100
10261	2333	2300	0112	0100
10262	2311	2300	0112	0100
10263	2313	2300	0112	0100
10264	2333	2301	0112	0100
10265	2311	2301	0112	0100
10266	2313	2301	0112	0100
10267	1233	2302	0112	0100
10268	1211	2302	0112	0100
10269	1213	2302	0112	0100
1027	0233	0122	0111	0002
10270	2333	2302	0112	0100
10271	2311	2302	0112	0100
10272	2313	2302	0112	0100
10273	1233	1202	0112	0102
10274	1211	1202	0112	0102
10275	1213	1202	0112	0102
10276	1233	1202	0112	0100
10277	1211	1202	0112	0100
10278	1213	1202	0112	0100
10279	2333	1202	0112	0100
1028	0233	0122	0113	0002
10280	2311	1202	0112	0100
10281	2313	1202	0112	0100
10282	1211	1101	0112	0100
10283	1213	1101	0112	0100
10284	1211	1301	0112	0100
10285	1211	3301	0112	0100
10286	1211	3302	0112	0100
10287	1233	3302	0112	0100
10288	1213	3302	0112	0100
10289	1213	1301	0112	0100
1029	0211	0122	0113	0002
10290	1213	3301	0112	0100
10291	1233	1301	0112	0100
10292	1233	3301	0112	0100
10293	1233	1311	0112	0100
10294	1213	1311	0112	0100
10295	1233	1100	0112	0100
10296	2311	1100	0112	0100
10297	2313	1100	0112	0100
10298	1211	1100	0112	0100
10299	1213	1100	0112	0100
103	0013	0011	0002	0001
1030	0213	0122	0113	0002
10300	2311	1102	0112	0100
10301	1211	1102	0112	0103
10302	1213	1102	0112	0103
10303	1211	1122	0112	0103
10304	1211	1103	0112	0103
10305	1213	1103	0112	0103
10306	1211	1123	0112	0103
10307	1213	1123	0112	0103
10308	1222	1122	0112	0103
10309	1222	1122	0112	0100
1031	0213	0122	0113	0012
10310	2322	1122	0112	0100
10311	2312	1122	0112	0100
