Time	B (Mean)	X (Mean)	Y (Mean)	B (Std)	X (Std)	Y (Std)
0	0	1200	800	0	0	0
2.6015651015651E-10	0.00049950023979893	1199.99975024989	799.999750249867	0.0316069585731851	0.0158034947567997	0.015803487390369
0.000200309643318023	271.448680864743	1070.44955005324	658.10176908199	19.5169566124063	10.36693561446	10.5584825785767
0.000400329577293686	411.510017974367	1015.30624986413	573.183732161468	22.0104054787762	12.9763204887244	12.9811304974831
0.000600389102452746	489.058112675882	997.550150118437	513.391737205662	22.9363672809308	15.3377288268146	14.7479520107039
0.000800544595624711	531.959394200955	1002.25801317253	465.782592626445	23.385687102053	17.8951134780623	16.340210429594
0.00100074421508117	553.46141032791	1022.37062751001	424.167962161963	23.6486393655826	20.7333492334606	17.8427240515467
0.00120089322493536	560.459597658172	1054.19541817629	385.344984165377	23.8677854264864	23.8555327933041	19.2414315222942
0.00140101948579449	556.706373445788	1095.6582563947	347.635370159322	24.1595893598533	27.2180355872515	20.4791255027929
0.00160122676942497	544.260643308041	1145.47211678393	310.267239907853	24.6350990398843	30.727236314566	21.4716254949903
0.00180163377326922	524.26881273044	1202.65648693711	273.074700332246	25.3830667046187	34.2309051892647	22.1190594817381
0.00200169981461297	497.546797148014	1266.01101581075	236.442187041058	26.4276523925764	37.5048186908097	22.3209867268655
0.00220197469664392	464.698896250589	1334.45316843914	200.847935310117	27.6974636853566	40.2936109002503	22.0002103687498
0.0024021820431718	426.588711583891	1406.32284306682	167.088445349189	29.0041889228667	42.3076821412441	21.1214071320392
0.00260239198996287	384.330426549403	1479.73955935687	135.930014093652	30.0787902746905	43.2891621081052	19.7097218570438
0.00280248249406124	339.415694242575	1552.51729397616	108.067011781207	30.6350176365508	43.0625462052212	17.8572973255775
0.00300264912341387	293.524725275407	1622.5375390287	83.9377356958516	30.4487290181032	41.5838758726415	15.7074319721551
0.00320273459233845	248.499787203271	1687.74854044589	63.7516723508191	29.4171547115198	38.9634203690943	13.4340965810696
0.00340289123265758	205.973659607572	1746.62357530435	47.4027650880635	27.5813093430457	35.4444636462557	11.2020426677336
0.00360297648208383	167.3003964442	1798.11970861801	34.5798949377758	25.1085691005022	31.3592754481984	9.14498426413613
0.00380313016741787	133.309749482701	1841.89012361616	24.8001269011223	22.2364722681446	27.052720018879	7.34419330532438
0.00400321566072134	104.390541159563	1878.07629438249	17.5331644579418	19.2192436287647	22.833270745299	5.83386442615888
0.00420336844324949	80.4616737648695	1907.29221764358	12.2461085915499	16.2720938383573	18.9245645382812	4.60671887415321
0.00440345443913873	61.1654701499803	1930.36311937144	8.47141047857545	13.5528314631321	15.4656360812101	3.63290294680826
0.00460360664420266	45.9295301635124	1948.2561439036	5.81432593288408	11.1494093553406	12.5101466562154	2.8703636766983
0.00480369310221471	34.1293751666661	1961.90346957206	3.96715526127142	9.09666408176355	10.0556490355888	2.27735773105561
0.00500384485066077	25.1279601030425	1972.17803734999	2.69400254696342	7.38596193376055	8.05801712819393	1.81591155004472
0.0052039317800703	18.3574176149604	1979.81929659984	1.82328578520247	5.98672409653665	6.45701777782177	1.45556561683307
0.00540408306340875	13.3190248199922	1985.45035581318	1.2306193668295	4.85500941035275	5.18485408926238	1.1721427296089
0.00560417045189761	9.60785841388959	1989.56303689793	0.829104688180699	3.94625773012311	4.1790466003282	0.947734890021718
0.00580432129837198	6.89475229277407	1992.54751521152	0.557732495706354	3.21769823532582	3.38354035938775	0.768693024091793
0.00600440912126065	4.9262960075786	1994.69886103823	0.37484295418899	2.63330863544389	2.75291592803255	0.625062782275178
0.00620455955629392	3.50570960149048	1996.24258362057	0.251706777944117	2.16263614750557	2.25009469416236	0.509188784749095
0.00640464779067794	2.48642156677514	1997.34462727236	0.168951160866694	1.78196292667008	1.84685476366848	0.415397374684676
0.006604797835634	1.75788764288591	1998.1287661641	0.113346193021014	1.47224660351622	1.5210766587267	0.339204706023679
0.00680488646057417	1.23953456294504	1998.68443513422	0.0760303028395097	1.21910783111604	1.2563371722751	0.277208261796231
0.00700503613706398	0.871775126285017	1999.0772414723	0.050983401417328	1.01111997363399	1.03982947704814	0.226648903431565
0.00720512513163093	0.611820842865041	1999.3539919663	0.0341871908383107	0.839666187260607	0.862023062959251	0.185392575424935
0.00740527446052145	0.42846320204983	1999.54861740119	0.022919396766514	0.697803456217027	0.715351300419439	0.151677964768533
0.00760536429954628	0.299530866350033	1999.68510300056	0.0153661330980209	0.580219071084616	0.594081749513276	0.124125919865587
0.00780551286563474	0.209017923602652	1999.78068168018	0.0103003962175735	0.482535032115329	0.493541299893496	0.101586655168554
0.00800560360941154	0.145642825645473	1999.84745193664	0.00690523772168686	0.401337574413104	0.410111305635368	0.0831530993115361
0.00820575139538093	0.101325812126119	1999.89404565417	0.00462853370826983	0.333756877257905	0.340772138295145	0.0680652726255802
0.00840584292339229	0.0704063341811923	1999.92649089438	0.0031027714438156	0.277519685217571	0.28314281265354	0.0557209571685975
0.0086059899435395	0.0488558727640047	1999.94906441675	0.00207971048998901	0.230689247688421	0.235204741873886	0.0456144681696447
0.00880608223388509	0.0338656483823101	1999.96474023232	0.0013941192996413	0.191715220614132	0.195346866206818	0.0373440293266926
0.00900622851716057	0.0234469428268116	1999.97561862529	0.00093443188379715	0.159267310397888	0.162191406142783	0.0305720035038898
0.00920632153104586	0.0162185767658161	1999.98315504036	0.000626382879034789	0.132274085636124	0.134630877052735	0.0250296707446733
0.00940646710887124	0.0112067945311212	1999.98837336406	0.000419841414583797	0.109813611057553	0.111714547835195	0.0204911984547032
